x ,y
0,0
0.08,0
0.16,0
0.24,0
0.32,0
0.4,0
0.48,0
0.56,0
0.64,0
0.72,0
0.8,0
0.88,0
0.96,0
1.04,0
1.12,0
1.2,0
1.28,0
1.36,0
1.44,0
1.52,0
1.6,0
1.68,0
1.76,0
1.84,0
1.92,0
2,0
2.08,0
2.16,0
2.24,0
2.32,0
2.4,0
2.48,0
2.56,0
2.64,0
2.72,0
2.8,0
2.88,0
2.96,0
3.04,0.474300831
3.12,0.708631777
3.2,0.941102954
3.28,1.171729121
3.36,1.400524921
3.44,1.627504882
3.52,1.852683415
3.6,2.076074816
3.68,2.29769327
3.76,2.517552847
3.84,2.735667507
3.92,2.952051099
4,3.16671736
4.08,3.37967992
4.16,3.590952302
4.24,3.800547919
4.32,4.008480078
4.4,4.214761982
4.48,4.419406728
4.56,4.62242731
4.64,4.823836617
4.72,5.023647437
4.8,5.221872458
4.88,5.418524264
4.96,5.613615341
5.04,5.807158076
5.12,5.999164758
5.2,6.189647578
5.28,6.378618629
5.36,6.566089909
5.44,6.752073323
5.52,6.936580677
5.6,7.119623688
5.68,7.301213976
5.76,7.481363071
5.84,7.660082412
5.92,7.837383345
6,8.013277128
6.08,8.176482052
6.16,8.33281239
6.24,8.482366983
6.32,8.625243536
6.4,8.761538629
6.48,8.89134773
6.56,9.014765206
6.64,9.131884336
6.72,9.242797319
6.8,9.347595288
6.88,9.446368322
6.96,9.539205452
7.04,9.626194678
7.12,9.707422976
7.2,9.78297631
7.28,9.852939643
7.36,9.917396945
7.44,9.976431208
7.52,10.03012445
7.6,10.07855773
7.68,10.12181117
7.76,10.15996392
7.84,10.19309422
7.92,10.22127941
8,10.24459587
8.08,10.26311912
8.16,10.27692378
8.24,10.28608357
8.32,10.29067135
8.4,10.29075912
8.48,10.28641802
8.56,10.27771833
8.64,10.26472953
8.72,10.24752023
8.8,10.22615825
8.88,10.20071059
8.96,10.17124344
9.04,10.13782221
9.12,10.1007804
9.2,10.06031042
9.28,10.01660081
9.36,9.96983627
9.44,9.920197761
9.52,9.867862515
9.6,9.813004117
9.68,9.755792553
9.76,9.696394263
9.84,9.634972199
9.92,9.571685872
10,9.50669141
10.08,9.440141605
10.16,9.372185966
10.24,9.302970768
10.32,9.232639104
10.4,9.16133093
10.48,9.089183116
10.56,9.016329493
10.64,8.9429009
10.72,8.86902523
10.8,8.794827476
10.88,8.720429777
10.96,8.645951459
11.04,8.571509086
11.12,8.497216495
11.2,8.423184846
11.28,8.349522659
11.36,8.276335859
11.44,8.203727818
11.52,8.13179939
11.6,8.060648959
11.68,7.99037247
11.76,7.921063477
11.84,7.852813173
11.92,7.785710436
12,7.719841858
12.08,7.655291791
12.16,7.592135974
12.24,7.530444964
12.32,7.47028427
12.4,7.411714484
12.48,7.354791406
12.56,7.299566177
12.64,7.246085395
12.72,7.194391243
12.8,7.144521608
12.88,7.096510194
12.96,7.05038664
13.04,7.006176633
13.12,6.963902018
13.2,6.923580908
13.28,6.885227787
13.36,6.84885362
13.44,6.81446595
13.52,6.782069003
13.6,6.751663785
13.68,6.723248178
13.76,6.696817036
13.84,6.672362278
13.92,6.64987298
14,6.629335461
14.08,6.610733376
14.16,6.594047798
14.24,6.579257303
14.32,6.566338055
14.4,6.555263883
14.48,6.546006365
14.56,6.5385349
14.64,6.532816791
14.72,6.528817313
14.8,6.526499791
14.88,6.52582567
14.96,6.526754583
15.04,6.529244423
15.12,6.533251408
15.2,6.538730303
15.28,6.545634547
15.36,6.553916393
15.44,6.56352703
15.52,6.574416702
15.6,6.586534835
15.68,6.599830145
15.76,6.614250749
15.84,6.629744276
15.92,6.646257968
16,6.663738778
16.08,6.682133471
16.16,6.701388713
16.24,6.721451162
