path,package,source_family,document_form,construct_tags,size_bucket,nonblank_lines,source_chars,score,sha256_source
/usr/local/texlive/2026/texmf-dist/doc/latex/flashcards/samplecards.tex,flashcards,texlive_ctan_doc,math_short,display_math;inline_math;lists,medium,91,4003,103,3b68214307c9037ca00fb48e3d7117c4e42819fc01f9fb74560aed60dbd55260
/usr/local/texlive/2026/texmf-dist/doc/latex/newlfm/test5.tex,newlfm,texlive_ctan_doc,table,captions;crossrefs;simple_table,short,28,804,100,747a974b84e3957ea9f61366b240e204beada595fe83f38f2838242ed2f2b48c
/usr/local/texlive/2026/texmf-dist/doc/latex/q-and-a/demo/theme-ChatGPT/Q-and-A-demo-ChatGPT.tex,q-and-a,texlive_ctan_doc,figure_diagram_plot,diagram_nodes_edges;figures_images;tikz,short,41,1479,100,0b0de50a76ccbbeeb4cb243e55d95c0ee5669169386826532b347e53e227cc1a
/usr/local/texlive/2026/texmf-dist/doc/latex/properties/testprop.tex,properties,texlive_ctan_doc,package_example,inline_math;text_sectioning,short,39,1277,78,74b66fb9405cf12fe73433d0e45845210eeb15330ba49015bcc52d19dc2eb82b
/usr/local/texlive/2026/texmf-dist/doc/latex/moodle/test/test_handout.tex,moodle,texlive_ctan_doc,compact_paper,fonts_symbols;lists;text_sectioning,medium,133,3393,117,bf0e6c8ba2a90ecade4ccd67db0f1150b32a289e45c0a804d059c1b9c5a4fd0a
/usr/local/texlive/2026/texmf-dist/doc/latex/bloques/example.tex,bloques,texlive_ctan_doc,letter_form_teaching,captions;diagram_nodes_edges;figures_images;inline_math;text_sectioning;tikz,medium,243,6212,127,3818b1d76868ae1b167a0417739adb6a74b555047985ce971ed44d988ac264ae
/usr/local/texlive/2026/texmf-dist/doc/latex/thesis-titlepage-fhac/doxygen_header.tex,thesis-titlepage-fhac,texlive_ctan_doc,algorithm,algorithm_pseudocode;custom_macros;theorems_proofs,medium,72,2002,41,7ae4094db680407d48e64be54b31fcf8cb0ba82df39ce6b244adbd56243d701c
/usr/local/texlive/2026/texmf-dist/doc/latex/issuulinks/sample.tex,issuulinks,texlive_ctan_doc,paper_excerpt,citations_bibliography;crossrefs;display_math;text_sectioning,short,32,868,94,0f03fad22f0771fc350f4e4d72377ab7e83fada231207b7c4fa28e879fd6b09b
/usr/local/texlive/2026/texmf-dist/doc/latex/facsimile/example.tex,facsimile,texlive_ctan_doc,cv_resume,display_math;inline_math;simple_table,medium,55,1967,103,6b3c7bf32f4be5beb6c88f6e566c61b49ede6a1d158aa597b49a782c7a4071a4
/usr/local/texlive/2026/texmf-dist/doc/latex/nomencl/sample04.tex,nomencl,texlive_ctan_doc,math_short,display_math;inline_math;text_sectioning,short,21,656,86,540ff2834a3b7fca46f8ea8a42af3a4bcf6e4e812e50f710122f53ee4b3a9b20
/usr/local/texlive/2026/texmf-dist/doc/latex/newlfm/test5alt.tex,newlfm,texlive_ctan_doc,table,captions;crossrefs;simple_table,short,28,778,100,5b8c1d828408762a0c2a462328938394636533b3f59d80475d4e5c2f37feb9d8
/usr/local/texlive/2026/texmf-dist/doc/latex/q-and-a/demo/theme-ChatGPT-classical/Q-and-A-demo-ChatGPT-classical.tex,q-and-a,texlive_ctan_doc,figure_diagram_plot,diagram_nodes_edges;figures_images;tikz,short,40,1459,100,c77e3480518db7ee8d871fba7800e8130cf0b945de32bb7f7837a6f63089d2bb
