path,package,source_family,document_form,construct_tags,size_bucket,nonblank_lines,source_chars,score,sha256_source
/usr/local/texlive/2026/texmf-dist/doc/latex/l2tabu-french/l2tabufr.tex,l2tabu-french,texlive_ctan_doc,table,aligned_math;captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;poster_blocks;simple_table;text_sectioning,large,1220,79692,191,465bb315df1a16b50271ce6e3f5e1e72cf9b6b1877b3e55d47bff760d770ec21
/usr/local/texlive/2026/texmf-dist/doc/latex/l2tabu-italian/l2tabuit.tex,l2tabu-italian,texlive_ctan_doc,table,aligned_math;captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning,large,1597,70670,183,392e04cf40ea2035076bdb3f3878d8b7e92822c24a9e44c28dcb1497bac4cf48
/usr/local/texlive/2026/texmf-dist/doc/latex/l2tabu/l2tabu.tex,l2tabu,texlive_ctan_doc,table,aligned_math;captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning,large,1486,62578,183,7d85ae177945d778c8309cfd0fac47043974bea0c3464bb13ec217abdeffabf9
/usr/local/texlive/2026/texmf-dist/doc/latex/formation-latex-ul/exercice-demo.tex,formation-latex-ul,texlive_ctan_doc,table,captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning;theorems_proofs,large,1225,53518,183,de284ce8b4138d46851443223ccb728409e1bd0bcf5349751e2db0a349fd0bde
/usr/local/texlive/2026/texmf-dist/doc/latex/schulmathematik/schulmathematik.tex,schulmathematik,texlive_ctan_doc,letter_form_teaching,aligned_math;citations_bibliography;color;complex_table;crossrefs;custom_macros;diagram_nodes_edges;display_math;figures_images;footnotes;inline_math;lists;long_table;minipage_boxes;multi_column;pgfplots;simple_table;text_sectioning;tikz,large,1249,71874,177,a70cfdd5772222b1171d220294733561b1ed974850d5404735accc7be43f4857
/usr/local/texlive/2026/texmf-dist/doc/latex/quran/quran-doc.tex,quran,texlive_ctan_doc,letter_form_teaching,captions;color;complex_table;crossrefs;custom_environments;custom_macros;diagram_nodes_edges;figures_images;fonts_symbols;footnotes;inline_math;lists;long_table;minipage_boxes;multi_column;pgfplots;simple_table;text_sectioning;tikz,large,1156,60653,177,cd7fbf7352eae5f312283aed22c64566ec89b42101f1ce1402f133c7b512d6dd
/usr/local/texlive/2026/texmf-dist/doc/latex/bclogo/bclogo-doc.tex,bclogo,texlive_ctan_doc,figure_diagram_plot,color;complex_table;crossrefs;custom_environments;custom_macros;diagram_nodes_edges;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;long_table;minipage_boxes;multi_column;text_sectioning;tikz,large,765,31951,175,b06818b24a1c0d8ea77ee9139226599dbd88a6f91aa07b0a42d20fab506ae81b
/usr/local/texlive/2026/texmf-dist/doc/latex/ndsu-thesis-2022/NDSU-Thesis-Extended.tex,ndsu-thesis-2022,texlive_ctan_doc,letter_form_teaching,aligned_math;captions;color;complex_table;crossrefs;custom_macros;display_math;figures_images;footnotes;inline_math;lists;long_table;minipage_boxes;multi_column;poster_blocks;simple_table;text_sectioning;theorems_proofs,large,1472,110914,169,ad878d1337bb2ed5ae8e83634fda9ef4dc693c8c05745a6328fa31800a309a1e
/usr/local/texlive/2026/texmf-dist/doc/latex/latex-refsheet/LaTeX_RefSheet.tex,latex-refsheet,texlive_ctan_doc,cv_resume,aligned_math;captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning,large,1283,63506,169,26eafb79a2a38fb38bfcb938858fb316df59935e9a1a9ee61f87098b86b4bdc4
/usr/local/texlive/2026/texmf-dist/doc/latex/memoirchapterstyles/MemoirChapStyles.tex,memoirchapterstyles,texlive_ctan_doc,cv_resume,citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;diagram_nodes_edges;display_math;figures_images;fonts_symbols;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning;theorems_proofs;tikz,large,1249,44751,169,819651fceb2e8ba4ad181ba5574f899bd7d62fa1e6a645483f429d4db5f6581f
/usr/local/texlive/2026/texmf-dist/doc/latex/oup-authoring-template/oup-authoring-template.tex,oup-authoring-template,texlive_ctan_doc,letter_form_teaching,algorithm_pseudocode;aligned_math;captions;citations_bibliography;color;complex_table;crossrefs;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning;theorems_proofs,large,762,51011,169,4fb3b9995478d75d4249fac053902472f2d78b97b129ae4b34475271dee68589
/usr/local/texlive/2026/texmf-dist/doc/latex/l2tabu-english/l2tabuen.tex,l2tabu-english,texlive_ctan_doc,table,captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;display_math;figures_images;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning,large,1542,76632,167,9708e05809daa7ae5be1b1d8c9dc5fe8a7dc62e0ffef0e51ddb209f94b2c5e44
/usr/local/texlive/2026/texmf-dist/doc/latex/tcolorbox/tcolorbox.doc.listings.tex,tcolorbox,texlive_ctan_doc,presentation,beamer_frames;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;diagram_nodes_edges;display_math;figures_images;lists;multi_column;poster_blocks;simple_table;text_sectioning;tikz,large,1497,66331,167,bc433d09ff3d7c531921d24e48edc1a16a7b3e07d1e092faa43a1e84c64c0b6d
/usr/local/texlive/2026/texmf-dist/doc/metapost/mpchess/mpchess-doc-fr.tex,mpchess,texlive_ctan_doc,figure_diagram_plot,captions;citations_bibliography;color;crossrefs;custom_macros;diagram_nodes_edges;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;simple_table;text_sectioning;tikz,large,1200,52474,167,2b18b8e9527fbcb7ed1e57d5592562d958a12283712e02db9cbed7a20fd6448b
/usr/local/texlive/2026/texmf-dist/doc/latex/xtufte/sample-book.tex,xtufte,texlive_ctan_doc,table,captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning,large,1014,50666,167,ac55d2a35eef66689e6111bba1a7fd9ab1494f545e34c38447f451a0d32e2a49
/usr/local/texlive/2026/texmf-dist/doc/latex/tufte-latex/sample-book.tex,tufte-latex,texlive_ctan_doc,table,captions;citations_bibliography;color;complex_table;crossrefs;custom_environments;custom_macros;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;multi_column;simple_table;text_sectioning,large,965,48430,167,16d1cf67deeb5de985e4b9c12c87efa05c8ea5b5c58a2425851036e65b4b4ce7
/usr/local/texlive/2026/texmf-dist/doc/latex/lshort-vietnamese/src/spec.tex,lshort-vietnamese,texlive_ctan_doc,presentation,beamer_frames;captions;citations_bibliography;color;crossrefs;custom_macros;display_math;figures_images;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;poster_blocks;simple_table;text_sectioning,large,778,54083,167,6fbf921b39ce30c4379c4abeee2dc526bf2a014fe55bf2b949067d75ff4edaed
