path,package,source_family,document_form,construct_tags,size_bucket,nonblank_lines,source_chars,score,sha256_source
/usr/local/texlive/2026/texmf-dist/doc/lualatex/autotype/autotype-de.tex,lualatex,texlive_ctan_doc,compact_paper,citations_bibliography;color;crossrefs;custom_environments;custom_macros;fonts_symbols;footnotes;inline_math;lists;minipage_boxes;poster_blocks;text_sectioning,large,1268,81780,135,6163824cd647963aeb6d41c84ddec75fe3bd9d7b941dbe427708bfa20caaa4a1
/usr/local/texlive/2026/texmf-dist/doc/latex/elegantpaper/elegantpaper-cn.tex,elegantpaper,texlive_ctan_doc,compact_paper,citations_bibliography;color;crossrefs;custom_macros;display_math;figures_images;footnotes;lists;text_sectioning,medium,146,7810,121,d794b5e1754a3215eb02d41b9324d70a6280a23b82b04fd02c49a4f759241337
/usr/local/texlive/2026/texmf-dist/doc/latex/bxcjkjatype/bxcjkvert.tex,bxcjkjatype,texlive_ctan_doc,compact_paper,color;crossrefs;custom_environments;custom_macros;fonts_symbols;footnotes;inline_math;lists;text_sectioning,medium,119,4790,121,9373f1f3d14096d046414a15b0705d606dc3ce46d997741910de7831eebd0ef6
/usr/local/texlive/2026/texmf-dist/doc/latex/bxcjkjatype/bxcjkvert-ja.tex,bxcjkjatype,texlive_ctan_doc,compact_paper,color;crossrefs;custom_environments;custom_macros;fonts_symbols;footnotes;inline_math;lists;text_sectioning,medium,111,3356,121,071f0a24b5d9407abb75a20313d20a485d7ea3ad40b97e01942080013ae047f3
/usr/local/texlive/2026/texmf-dist/doc/support/chklref/chklref.tex,support,texlive_ctan_doc,compact_paper,captions;crossrefs;custom_macros;display_math;figures_images;footnotes;inline_math;lists;text_sectioning,medium,101,6827,121,be88a9e74cb8cb0882a0107ccba1523a562136a35cf1ad951bc9d6719f935be3
/usr/local/texlive/2026/texmf-dist/doc/latex/pgf-periodictable/pgf-PeriodicTableManual.tex,pgf-periodictable,texlive_ctan_doc,compact_paper,color;crossrefs;custom_macros;diagram_nodes_edges;figures_images;fonts_symbols;inline_math;lists;minipage_boxes;text_sectioning,large,352,29765,119,50dd287889df8174441ce62c53b7efdfc4f4d882b9a093ebde9350a71534b3c9
/usr/local/texlive/2026/texmf-dist/doc/latex/bgteubner/tex_typographie.tex,bgteubner,texlive_ctan_doc,paper_excerpt,captions;citations_bibliography;crossrefs;display_math;figures_images;footnotes;inline_math;minipage_boxes;text_sectioning,large,430,18391,97,97efe6432de913118da89d3e4306413f2e8f1f0b6d03812eeb73cc201f5fe690
/usr/local/texlive/2026/texmf-dist/doc/xelatex/thesis-qom/bib-index.tex,xelatex,texlive_ctan_doc,paper_excerpt,captions;citations_bibliography;crossrefs;custom_macros;display_math;figures_images;footnotes;minipage_boxes;text_sectioning,large,205,11601,97,3c13a85cf08bdc6fd081e56de466ed60595e7665bdd84cd13dec0bd0cf31f0f9
/usr/local/texlive/2026/texmf-dist/doc/latex/otibet/unidoc.tex,otibet,texlive_ctan_doc,paper_excerpt,citations_bibliography;crossrefs;custom_macros;inline_math;lists;multi_column;text_sectioning,medium,190,7313,91,524b17ca8596c993b242ceecc324511bd655d1f31f801537a9b1c2123825f62c
/usr/local/texlive/2026/texmf-dist/doc/latex/biblatex-chicago/cms-legal-sample.tex,biblatex-chicago,texlive_ctan_doc,paper_excerpt,citations_bibliography;crossrefs;custom_macros;fonts_symbols;footnotes;lists;text_sectioning,medium,140,5715,91,60d6f6d25e48c9eea3f6a953ff8b66c873570e12de015b9a62de003ea2a0317d
