sample_id,status,reason,page_count,compile_seconds,source_path,package,source_family,document_form,construct_tags,size_bucket,nonblank_lines,source_chars,sha256_source,sha256_pdf,corpus_dir
subfigure_test3_916f3fba,accepted,accepted,2,0.6568556670099497,/usr/local/texlive/2026/texmf-dist/doc/latex/subfigure/test3.tex,subfigure,texlive_ctan_doc,compact_paper,captions;crossrefs;custom_macros;figures_images;minipage_boxes;text_sectioning,medium,67,1613,2274d836bbb67ef5f021ff7b1e3c442b67397aa27b6b395986346cd86446f0c0,61ee2fe4a00b3fac989e7900c4558cdad3ff65097c98bd6487e9c56f189a0c36,data/texlive_seed_smoke2/corpus/subfigure_test3_916f3fba
subfigure_test5_36f6f5e7,accepted,accepted,2,0.7960338750272058,/usr/local/texlive/2026/texmf-dist/doc/latex/subfigure/test5.tex,subfigure,texlive_ctan_doc,compact_paper,captions;crossrefs;custom_macros;figures_images;minipage_boxes;text_sectioning,medium,62,1924,f8484bcfe266b033e43b871a2995050662ba70a8daae2070fb6438af3cd987de,686a3e01fe7fca2f436cbfd3e0df21cb08869a3a240a94efecbceca21d949d95,data/texlive_seed_smoke2/corpus/subfigure_test5_36f6f5e7
captcont_test_fc0c7646,rejected,page_count_16,16,0.6787841250188649,/usr/local/texlive/2026/texmf-dist/doc/latex/captcont/test.tex,captcont,texlive_ctan_doc,compact_paper,captions;crossrefs;custom_macros;figures_images;minipage_boxes,medium,259,7748,aae19d34ff1910f6245e53bb58f6fd05828dffcf1e31aaa4d86bf0e3a613300a,,
dvipdfm_sample_28ae997d,rejected,pdflatex_failed,0,0.22336466697743163,/usr/local/texlive/2026/texmf-dist/doc/dvipdfm/sample.tex,dvipdfm,texlive_ctan_doc,compact_paper,captions;color;crossrefs;figures_images;text_sectioning,medium,76,2379,bd6fffc8f27aa38c9130b938032685d1f1243f7d2b1235692f90e3c25b424791,,
paper_testp_f614df56,accepted,accepted,2,0.68221637501847,/usr/local/texlive/2026/texmf-dist/doc/latex/paper/testp.tex,paper,texlive_ctan_doc,compact_paper,captions;citations_bibliography;figures_images;footnotes;lists;text_sectioning;theorems_proofs,short,51,1339,6a12c1aa033747319834f0fd8335c77d65ce6e57d7aa154949325e38cf76015e,005d8b5e79352809a659f003594db7b062dc3d8f94975cd271c52f7d7c0c6950,data/texlive_seed_smoke2/corpus/paper_testp_f614df56
glossaries_sampleeq_6d65dcbe,rejected,page_count_13,13,1.4085295419790782,/usr/local/texlive/2026/texmf-dist/doc/latex/glossaries/samples/sampleEq.tex,glossaries,texlive_ctan_doc,compact_paper,custom_macros;display_math;inline_math;text_sectioning,medium,180,6358,694624b18a5f6a757261189f14332e1e16310baf79159c685ea0529866a1d395,,
bidi_test_supertabular_eb64fde8,rejected,pdflatex_failed,0,0.1493147499859333,/usr/local/texlive/2026/texmf-dist/doc/latex/bidi/test-supertabular.tex,bidi,texlive_ctan_doc,compact_paper,complex_table;long_table;multi_column;text_sectioning,medium,115,6453,882ea5e0b88444029dd212042f75cba333826e2ae9a8ae23e3e1b1850cc814c8,,
latex4musicians_sample_songbook_522a33c4,rejected,pdflatex_failed,0,0.18244912498630583,/usr/local/texlive/2026/texmf-dist/doc/latex/latex4musicians/Figures/sample-songbook.tex,latex4musicians,texlive_ctan_doc,compact_paper,custom_macros;figures_images;minipage_boxes;text_sectioning,medium,74,1746,58d90dee349ab80259891c9839b16a1cb48305be348c77ce3c39591385e070c2,,
moodle_test_german_5d5cd438,accepted,accepted,1,1.7472608750103973,/usr/local/texlive/2026/texmf-dist/doc/latex/moodle/test/test_german.tex,moodle,texlive_ctan_doc,compact_paper,custom_macros;fonts_symbols;lists;text_sectioning,medium,64,2515,a66a9e46178f3be9ad52af357011ddd80912dd64abcd0e744e05354d646bdb3a,58a17375f2d868a99e53060a418ac9531ec05d3a5bde96ac36c91ee2eb4abece,data/texlive_seed_smoke2/corpus/moodle_test_german_5d5cd438
arsenal_sample_d9c55fea,rejected,pdflatex_failed,0,0.16926570795476437,/usr/local/texlive/2026/texmf-dist/doc/fonts/arsenal/sample.tex,arsenal,texlive_ctan_doc,paper_excerpt,citations_bibliography;custom_macros;display_math;fonts_symbols;inline_math;text_sectioning,large,213,10290,ea85381610c4177e5d44d6d61e961acd585d920004a5c2202a389b04ca8291cf,,
