path,package,source_family,document_form,construct_tags,size_bucket,nonblank_lines,source_chars,score,sha256_source
/usr/local/texlive/2026/texmf-dist/doc/latex/subfigure/test3.tex,subfigure,texlive_ctan_doc,compact_paper,captions;crossrefs;custom_macros;figures_images;minipage_boxes;text_sectioning,medium,67,1613,141,2274d836bbb67ef5f021ff7b1e3c442b67397aa27b6b395986346cd86446f0c0
/usr/local/texlive/2026/texmf-dist/doc/latex/subfigure/test5.tex,subfigure,texlive_ctan_doc,compact_paper,captions;crossrefs;custom_macros;figures_images;minipage_boxes;text_sectioning,medium,62,1924,141,f8484bcfe266b033e43b871a2995050662ba70a8daae2070fb6438af3cd987de
/usr/local/texlive/2026/texmf-dist/doc/latex/captcont/test.tex,captcont,texlive_ctan_doc,compact_paper,captions;crossrefs;custom_macros;figures_images;minipage_boxes,medium,259,7748,133,aae19d34ff1910f6245e53bb58f6fd05828dffcf1e31aaa4d86bf0e3a613300a
/usr/local/texlive/2026/texmf-dist/doc/dvipdfm/sample.tex,dvipdfm,texlive_ctan_doc,compact_paper,captions;color;crossrefs;figures_images;text_sectioning,medium,76,2379,133,bd6fffc8f27aa38c9130b938032685d1f1243f7d2b1235692f90e3c25b424791
/usr/local/texlive/2026/texmf-dist/doc/latex/paper/testp.tex,paper,texlive_ctan_doc,compact_paper,captions;citations_bibliography;figures_images;footnotes;lists;text_sectioning;theorems_proofs,short,51,1339,132,6a12c1aa033747319834f0fd8335c77d65ce6e57d7aa154949325e38cf76015e
/usr/local/texlive/2026/texmf-dist/doc/latex/glossaries/samples/sampleEq.tex,glossaries,texlive_ctan_doc,compact_paper,custom_macros;display_math;inline_math;text_sectioning,medium,180,6358,125,694624b18a5f6a757261189f14332e1e16310baf79159c685ea0529866a1d395
/usr/local/texlive/2026/texmf-dist/doc/latex/bidi/test-supertabular.tex,bidi,texlive_ctan_doc,compact_paper,complex_table;long_table;multi_column;text_sectioning,medium,115,6453,125,882ea5e0b88444029dd212042f75cba333826e2ae9a8ae23e3e1b1850cc814c8
/usr/local/texlive/2026/texmf-dist/doc/latex/latex4musicians/Figures/sample-songbook.tex,latex4musicians,texlive_ctan_doc,compact_paper,custom_macros;figures_images;minipage_boxes;text_sectioning,medium,74,1746,125,58d90dee349ab80259891c9839b16a1cb48305be348c77ce3c39591385e070c2
/usr/local/texlive/2026/texmf-dist/doc/latex/moodle/test/test_german.tex,moodle,texlive_ctan_doc,compact_paper,custom_macros;fonts_symbols;lists;text_sectioning,medium,64,2515,125,a66a9e46178f3be9ad52af357011ddd80912dd64abcd0e744e05354d646bdb3a
/usr/local/texlive/2026/texmf-dist/doc/fonts/arsenal/sample.tex,arsenal,texlive_ctan_doc,paper_excerpt,citations_bibliography;custom_macros;display_math;fonts_symbols;inline_math;text_sectioning,large,213,10290,100,ea85381610c4177e5d44d6d61e961acd585d920004a5c2202a389b04ca8291cf
