category,filename,difficulty,pandoc,tylax,typetex_approx
01_prose,easy.tex,easy,1,1,1
01_prose,medium.tex,medium,1,1,1
01_prose,hard.tex,hard,0,1,1
02_eq_simple,easy.tex,easy,1,1,1
02_eq_simple,medium.tex,medium,1,1,1
02_eq_simple,hard.tex,hard,1,1,1
03_eq_hard,easy.tex,easy,1,1,1
03_eq_hard,medium.tex,medium,1,1,1
03_eq_hard,hard.tex,hard,1,1,1
04_paper_full,easy.tex,easy,1,1,1
04_paper_full,medium.tex,medium,1,1,1
04_paper_full,hard.tex,hard,0,0,0
05_paper_small,easy.tex,easy,1,1,1
05_paper_small,medium.tex,medium,1,1,1
05_paper_small,hard.tex,hard,1,1,1
06_tables_simple,easy.tex,easy,1,1,1
06_tables_simple,medium.tex,medium,1,1,1
06_tables_simple,hard.tex,hard,1,1,1
07_tables_complex,easy.tex,easy,1,1,1
07_tables_complex,medium.tex,medium,1,1,1
07_tables_complex,hard.tex,hard,1,1,1
08_algorithms,easy.tex,easy,1,1,1
08_algorithms,medium.tex,medium,1,1,1
09_tikz_simple,easy.tex,easy,1,1,1
09_tikz_simple,medium.tex,medium,1,1,1
09_tikz_simple,hard.tex,hard,1,0,1
10_tikz_complex,easy.tex,easy,1,1,1
10_tikz_complex,medium.tex,medium,1,0,1
10_tikz_complex,hard.tex,hard,1,1,1
11_pgfplots,easy.tex,easy,1,1,1
11_pgfplots,medium.tex,medium,1,1,1
11_pgfplots,hard.tex,hard,1,1,1
12_cv_simple,easy.tex,easy,1,0,1
12_cv_simple,medium.tex,medium,0,0,0
12_cv_simple,hard.tex,hard,1,0,1
13_cv_complex,easy.tex,easy,1,0,1
13_cv_complex,medium.tex,medium,0,0,0
13_cv_complex,hard.tex,hard,0,0,0
14_posters,easy.tex,easy,1,1,1
14_posters,medium.tex,medium,1,1,1
14_posters,hard.tex,hard,1,1,1
15_beamer,easy.tex,easy,1,0,1
15_beamer,medium.tex,medium,1,0,1
01_prose,attention_prose1.tex,hard,1,1,1
03_eq_hard,attention_eq1.tex,hard,1,1,1
07_tables_complex,attention_table1.tex,hard,1,1,1
07_tables_complex,attention_table2.tex,hard,1,1,1
15_beamer,hard.tex,hard,1,0,1
