category,filename,difficulty,pandoc_compile,pandoc_iou,pandoc_ssim,pandoc_score,tylax_compile,tylax_iou,tylax_ssim,tylax_score,typetex_approx_compile,typetex_approx_iou,typetex_approx_ssim,typetex_approx_score
01_prose,easy.tex,easy,1,0.00,0.93,1.0,1,0.00,0.93,1.0,1,0.00,0.93,1.0
01_prose,medium.tex,medium,1,0.10,0.91,0.5,1,0.09,0.91,1.0,1,0.10,0.91,0.5
01_prose,hard.tex,hard,0,0.00,0.00,0.0,1,0.61,0.89,1.0,1,0.62,0.89,0.5
02_eq_simple,easy.tex,easy,1,0.00,0.97,1.0,1,0.00,0.97,1.0,1,0.00,0.97,1.0
02_eq_simple,medium.tex,medium,1,0.00,0.98,0.5,1,0.00,0.98,0.5,1,0.00,0.98,1.0
02_eq_simple,hard.tex,hard,1,0.01,0.97,1.0,1,0.01,0.97,0.5,1,0.01,0.97,0.5
03_eq_hard,easy.tex,easy,1,0.02,0.98,0.5,1,0.03,0.98,0.5,1,0.02,0.98,1.0
03_eq_hard,medium.tex,medium,1,0.04,0.97,0.5,1,0.03,0.97,0.5,1,0.02,0.97,1.0
03_eq_hard,hard.tex,hard,1,0.00,0.95,1.0,1,0.00,0.95,0.5,1,0.00,0.95,1.0
04_paper_full,easy.tex,easy,1,0.00,0.90,1.0,1,0.19,0.87,0.5,1,0.00,0.90,0.5
04_paper_full,medium.tex,medium,1,0.41,0.89,1.0,1,0.46,0.85,0.5,1,0.41,0.89,0.5
04_paper_full,hard.tex,hard,0,0.00,0.00,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.0
05_paper_small,easy.tex,easy,1,0.01,0.94,0.5,1,0.00,0.95,1.0,1,0.01,0.94,0.5
05_paper_small,medium.tex,medium,1,0.10,0.92,1.0,1,0.10,0.92,0.5,1,0.10,0.92,0.5
05_paper_small,hard.tex,hard,1,0.36,0.94,1.0,1,0.35,0.94,0.5,1,0.36,0.94,0.5
06_tables_simple,easy.tex,easy,1,0.01,0.96,1.0,1,0.01,0.96,0.5,1,0.01,0.96,1.0
06_tables_simple,medium.tex,medium,1,0.01,0.96,1.0,1,0.01,0.96,0.5,1,0.01,0.96,1.0
06_tables_simple,hard.tex,hard,1,0.02,0.95,1.0,1,0.02,0.95,1.0,1,0.02,0.95,1.0
07_tables_complex,easy.tex,easy,1,0.02,0.96,1.0,1,0.02,0.96,0.5,1,0.02,0.96,1.0
07_tables_complex,medium.tex,medium,1,0.01,0.95,1.0,1,0.01,0.95,0.5,1,0.01,0.95,1.0
07_tables_complex,hard.tex,hard,1,0.04,0.93,1.0,1,0.03,0.93,0.5,1,0.04,0.93,1.0
08_algorithms,easy.tex,easy,1,0.00,0.98,1.0,1,0.00,0.95,0.5,1,0.00,0.98,1.0
08_algorithms,medium.tex,medium,1,0.00,0.97,1.0,1,0.01,0.94,0.5,1,0.00,0.97,1.0
09_tikz_simple,easy.tex,easy,1,0.00,1.00,1.0,1,0.00,0.99,0.5,1,0.00,1.00,1.0
09_tikz_simple,medium.tex,medium,1,0.00,0.99,1.0,1,0.00,0.99,0.5,1,0.00,0.99,1.0
09_tikz_simple,hard.tex,hard,1,0.00,0.99,1.0,0,0.00,0.00,0.0,1,0.00,0.99,1.0
10_tikz_complex,easy.tex,easy,1,0.00,0.99,1.0,1,0.00,0.99,0.5,1,0.00,0.99,1.0
10_tikz_complex,medium.tex,medium,1,0.00,0.99,1.0,0,0.00,0.00,0.0,1,0.00,0.99,1.0
10_tikz_complex,hard.tex,hard,1,0.00,0.99,1.0,1,0.00,0.99,1.0,1,0.00,0.99,1.0
11_pgfplots,easy.tex,easy,1,0.00,0.97,1.0,1,0.00,0.97,1.0,1,0.00,0.97,1.0
11_pgfplots,medium.tex,medium,1,0.00,0.98,1.0,1,0.00,0.98,1.0,1,0.00,0.98,1.0
11_pgfplots,hard.tex,hard,1,0.00,0.96,1.0,1,0.00,0.96,1.0,1,0.00,0.96,1.0
12_cv_simple,easy.tex,easy,1,0.01,0.95,1.0,0,0.00,0.00,0.0,1,0.01,0.95,1.0
12_cv_simple,medium.tex,medium,0,0.00,0.00,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.0
12_cv_simple,hard.tex,hard,1,0.10,0.93,1.0,0,0.00,0.00,0.0,1,0.10,0.93,1.0
13_cv_complex,easy.tex,easy,1,0.21,0.98,1.0,0,0.00,0.00,0.0,1,0.21,0.98,1.0
13_cv_complex,medium.tex,medium,0,0.00,0.00,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.0
13_cv_complex,hard.tex,hard,0,0.00,0.00,0.0,0,0.00,0.00,0.0,0,0.00,0.00,0.0
14_posters,easy.tex,easy,1,0.00,0.99,1.0,1,0.10,0.99,0.5,1,0.00,0.99,1.0
14_posters,medium.tex,medium,1,0.04,0.98,1.0,1,0.16,0.98,0.5,1,0.04,0.98,1.0
14_posters,hard.tex,hard,1,0.15,0.97,0.5,1,0.11,0.97,1.0,1,0.15,0.97,0.5
15_beamer,easy.tex,easy,1,0.22,0.89,1.0,0,0.00,0.00,0.0,1,0.22,0.89,0.5
15_beamer,medium.tex,medium,1,0.37,0.85,1.0,0,0.00,0.00,0.0,1,0.37,0.85,0.5
01_prose,attention_prose1.tex,hard,1,0.52,0.79,1.0,1,0.52,0.79,0.5,1,0.52,0.79,0.5
03_eq_hard,attention_eq1.tex,hard,1,0.55,0.79,0.5,1,0.57,0.79,0.5,1,0.53,0.80,1.0
07_tables_complex,attention_table1.tex,hard,1,0.02,0.75,0.5,1,0.00,0.90,1.0,1,0.02,0.75,0.5
07_tables_complex,attention_table2.tex,hard,1,0.43,0.68,0.5,1,0.00,0.85,1.0,1,0.43,0.68,0.5
