sample_id,set,source_dataset,source_id,status,reason,page_count,compile_seconds,source_chars,sample_dir
arxiv5t_paper_001,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00001.gz,rejected,compile_failed,0,1.61,31938,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_001
arxiv5t_paper_002,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00002.gz,accepted,accepted,8,4.65,32705,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_002
arxiv5t_paper_004,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00006.gz,rejected,compile_failed,0,3.51,7378,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_004
arxiv5t_paper_006,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00010.gz,accepted,accepted,10,6.36,956,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_006
arxiv5t_paper_008,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00013.gz,rejected,compile_failed,0,4.95,1594,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_008
arxiv5t_paper_012,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00017.gz,rejected,compile_failed,0,3.43,54052,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_012
arxiv5t_paper_014,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00019.gz,rejected,page_count_24,24,3.37,52574,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_014
arxiv5t_paper_015,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00020.gz,rejected,compile_failed,0,3.81,5466,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_015
arxiv5t_paper_016,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00022.gz,rejected,compile_failed,0,2.18,12515,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_016
arxiv5t_paper_017,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00023.gz,rejected,compile_failed,0,2.74,25632,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_017
arxiv5t_paper_018,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00025.gz,rejected,page_count_16,16,3.44,4278,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_018
arxiv5t_paper_019,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00026.gz,accepted,accepted,5,2.13,13165,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_019
arxiv5t_paper_020,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00027.gz,accepted,accepted,11,4.36,48478,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_020
arxiv5t_paper_021,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00028.gz,rejected,compile_failed,0,1.9,3145,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_021
arxiv5t_paper_022,arxiv5t_paper,TIGER-Lab/arxiv-latex-5T,2401/2401.00029.gz,accepted,accepted,12,5.43,52958,~/Downloads/learn/latex_typst/dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_022
