sample_id,set,source_dataset,source_id,status,reason,page_count,compile_seconds,source_chars,sample_dir
neurips_paper_001,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2505.23747,rejected,page_count_22,22,4.33,5072,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_001
neurips_paper_002,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2410.16928,rejected,compile_failed,0,5.31,5226,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_002
neurips_paper_003,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2509.02844,rejected,compile_failed,0,3.38,5353,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_003
neurips_paper_004,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2509.23779,rejected,page_count_61,61,5.14,5656,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_004
neurips_paper_005,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2507.05255,rejected,compile_failed,0,1.74,5718,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_005
neurips_paper_006,neurips_paper_006,Mithilss/neurips-2025-arxiv-latex-sources,2602.11609,rejected,compile_failed,0,1.58,5845,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_006/NeurIPS_2025
neurips_paper_007,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2504.04072,rejected,page_count_25,25,3.2,6143,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_007
neurips_paper_008,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2506.13589,rejected,compile_failed,0,3.21,6315,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_008
neurips_paper_009,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2511.17565,rejected,page_count_23,23,2.84,6319,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_009
neurips_paper_010,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2506.11343,rejected,page_count_21,21,2.65,6382,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_010
neurips_paper_011,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2506.02867,rejected,compile_failed,0,1.72,6436,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_011
neurips_paper_012,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2512.16143,rejected,page_count_14,14,4.96,6777,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_012
neurips_paper_013,neurips_paper,Mithilss/neurips-2025-arxiv-latex-sources,2504.13055,rejected,page_count_39,39,3.61,6951,~/Downloads/learn/latex_typst/dataset_expansion/corpus/neurips_paper/neurips_paper_013
