run_dir,sample_id,method,model,effort,feedback,harness,compiled,overall_v01,overall_raster_v02,pages,cost_usd,num_turns,score_iterations,typ_path
03_math_inline_display_004__1turn__opus__base,03_math_inline_display_004,claude opus 1-turn (effort low),opus-4.7,low,1-turn,—,True,0.5181,0.5921,1/1,,,,runs/03_math_inline_display_004__1turn__opus__base/output.typ
03_math_inline_display_004__1turn__sonnet__base,03_math_inline_display_004,claude sonnet 1-turn (effort low),sonnet-4.6,low,1-turn,—,False,,,,0.057291749999999995,,,runs/03_math_inline_display_004__1turn__sonnet__base/output.typ
04_math_aligned_014__1turn__opus__base,04_math_aligned_014,claude opus 1-turn (effort low),opus-4.7,low,1-turn,—,True,0.4568,0.5202,2/1,,,,runs/04_math_aligned_014__1turn__opus__base/output.typ
04_math_aligned_014__1turn__sonnet__base,04_math_aligned_014,claude sonnet 1-turn (effort low),sonnet-4.6,low,1-turn,—,True,0.427,0.4741,2/1,0.063999,,,runs/04_math_aligned_014__1turn__sonnet__base/output.typ
05_tables_simple_005__1turn__opus__base,05_tables_simple_005,claude opus 1-turn (effort low),opus-4.7,low,1-turn,—,True,0.3433,0.3801,2/3,,,,runs/05_tables_simple_005__1turn__opus__base/output.typ
05_tables_simple_005__1turn__sonnet__base,05_tables_simple_005,claude sonnet 1-turn (effort low),sonnet-4.6,low,1-turn,—,True,0.3461,0.3835,2/3,0.10298025000000001,,,runs/05_tables_simple_005__1turn__sonnet__base/output.typ
05_tables_simple_005__novisual__opus__core,05_tables_simple_005,"claude opus agentic (novisual, effort low)",opus-4.7,low,blind,v1,True,0.7262,0.8288,2/2,,,,runs/05_tables_simple_005__novisual__opus__core/work/output.typ
05_tables_simple_005__novisual__opus__qhigh,05_tables_simple_005,"claude opus agentic (novisual, effort high)",opus-4.7,high,blind,v1,True,0.8533,0.9411,2/2,2.8819102500000007,59,20,runs/05_tables_simple_005__novisual__opus__qhigh/work/output.typ
05_tables_simple_005__novisual__opus__qmedium,05_tables_simple_005,"claude opus agentic (novisual, effort medium)",opus-4.7,medium,blind,v1,True,0.6827,0.7724,2/2,0.5686960000000001,16,6,runs/05_tables_simple_005__novisual__opus__qmedium/work/output.typ
05_tables_simple_005__novisual__sonnet__qlow,05_tables_simple_005,"claude sonnet agentic (novisual, effort low)",sonnet-4.6,low,blind,v1,True,0.7082,0.797,2/2,0.3019911,18,6,runs/05_tables_simple_005__novisual__sonnet__qlow/work/output.typ
05_tables_simple_005__visual__opus__qhigh,05_tables_simple_005,"claude opus agentic (visual, effort high)",opus-4.7,high,visual,v1,True,0.6926,0.7895,2/2,1.6527540000000003,43,15,runs/05_tables_simple_005__visual__opus__qhigh/work/output.typ
05_tables_simple_005__visual__opus__qmedium,05_tables_simple_005,"claude opus agentic (visual, effort medium)",opus-4.7,medium,visual,v1,True,0.6274,0.7127,2/2,1.0545395,28,8,runs/05_tables_simple_005__visual__opus__qmedium/work/output.typ
05_tables_simple_005__visual__opus__v2run_v2,05_tables_simple_005,"claude opus agentic (visual, effort medium) [v2]",opus-4.7,medium,visual,v2,True,0.8205,0.9084,2/2,0.9785355000000001,24,4,runs/05_tables_simple_005__visual__opus__v2run_v2/work/output.typ
05_tables_simple_005__visual__opus__v3run_v3,05_tables_simple_005,"claude opus agentic (visual, effort medium) [v3]",opus-4.7,medium,visual,v3,True,0.778,0.88,2/2,1.7763455,48,16,runs/05_tables_simple_005__visual__opus__v3run_v3/work/output.typ
05_tables_simple_005__visual__sonnet__qlow,05_tables_simple_005,"claude sonnet agentic (visual, effort low)",sonnet-4.6,low,visual,v1,True,0.7005,0.8069,2/2,0.7241802,35,10,runs/05_tables_simple_005__visual__sonnet__qlow/work/output.typ
05_tables_simple_021__1turn__opus__base,05_tables_simple_021,claude opus 1-turn (effort low),opus-4.7,low,1-turn,—,True,0.357,0.386,3/2,,,,runs/05_tables_simple_021__1turn__opus__base/output.typ
05_tables_simple_021__1turn__sonnet__base,05_tables_simple_021,claude sonnet 1-turn (effort low),sonnet-4.6,low,1-turn,—,True,0.3457,0.3794,3/2,0.12473100000000001,,,runs/05_tables_simple_021__1turn__sonnet__base/output.typ
05_tables_simple_021__novisual__opus__core,05_tables_simple_021,"claude opus agentic (novisual, effort low)",opus-4.7,low,blind,v1,True,0.3894,0.4391,3/3,,,,runs/05_tables_simple_021__novisual__opus__core/work/output.typ
05_tables_simple_021__novisual__opus__qhigh,05_tables_simple_021,"claude opus agentic (novisual, effort high)",opus-4.7,high,blind,v1,True,0.5441,,3/3,2.19648275,45,16,runs/05_tables_simple_021__novisual__opus__qhigh/work/output.typ
05_tables_simple_021__novisual__opus__qmedium,05_tables_simple_021,"claude opus agentic (novisual, effort medium)",opus-4.7,medium,blind,v1,True,0.5261,0.5896,3/3,0.84493325,19,5,runs/05_tables_simple_021__novisual__opus__qmedium/work/output.typ
05_tables_simple_021__novisual__sonnet__qlow,05_tables_simple_021,"claude sonnet agentic (novisual, effort low)",sonnet-4.6,low,blind,v1,True,0.5183,0.5847,3/3,0.8218125000000002,25,6,runs/05_tables_simple_021__novisual__sonnet__qlow/work/output.typ
05_tables_simple_021__visual__opus__qhigh,05_tables_simple_021,"claude opus agentic (visual, effort high)",opus-4.7,high,visual,v1,True,0.6695,,3/3,2.9808084999999997,49,13,runs/05_tables_simple_021__visual__opus__qhigh/work/output.typ
05_tables_simple_021__visual__opus__qmedium,05_tables_simple_021,"claude opus agentic (visual, effort medium)",opus-4.7,medium,visual,v1,True,0.6369,0.7186,3/3,1.5091742499999998,33,9,runs/05_tables_simple_021__visual__opus__qmedium/work/output.typ
05_tables_simple_021__visual__opus__v2run_v2,05_tables_simple_021,"claude opus agentic (visual, effort medium) [v2]",opus-4.7,medium,visual,v2,True,0.4842,0.5606,3/3,0.7638454999999998,16,4,runs/05_tables_simple_021__visual__opus__v2run_v2/work/output.typ
05_tables_simple_021__visual__opus__v3run_v3,05_tables_simple_021,"claude opus agentic (visual, effort medium) [v3]",opus-4.7,medium,visual,v3,True,0.6577,0.7478,3/3,2.01471125,43,14,runs/05_tables_simple_021__visual__opus__v3run_v3/work/output.typ
05_tables_simple_021__visual__sonnet__qlow,05_tables_simple_021,"claude sonnet agentic (visual, effort low)",sonnet-4.6,low,visual,v1,True,0.4859,0.5419,3/3,1.4220621000000002,59,14,runs/05_tables_simple_021__visual__sonnet__qlow/work/output.typ
05_tables_simple_023__1turn__opus__base,05_tables_simple_023,claude opus 1-turn (effort low),opus-4.7,low,1-turn,—,True,0.3287,0.3538,3/2,,,,runs/05_tables_simple_023__1turn__opus__base/output.typ
05_tables_simple_023__1turn__sonnet__base,05_tables_simple_023,claude sonnet 1-turn (effort low),sonnet-4.6,low,1-turn,—,True,0.5176,0.5911,3/3,0.08559875,,,runs/05_tables_simple_023__1turn__sonnet__base/output.typ
05_tables_simple_023__novisual__opus__pilot,05_tables_simple_023,"claude opus agentic (novisual, effort low)",opus-4.7,low,blind,v1,True,0.5818,0.6841,3/3,,,,runs/05_tables_simple_023__novisual__opus__pilot/work/output.typ
05_tables_simple_023__novisual__opus__qhigh,05_tables_simple_023,"claude opus agentic (novisual, effort high)",opus-4.7,high,blind,v1,True,0.5555,0.6368,3/3,1.2872914999999998,20,6,runs/05_tables_simple_023__novisual__opus__qhigh/work/output.typ
05_tables_simple_023__novisual__opus__qmedium,05_tables_simple_023,"claude opus agentic (novisual, effort medium)",opus-4.7,medium,blind,v1,True,0.6134,0.7048,3/3,2.1590815,59,21,runs/05_tables_simple_023__novisual__opus__qmedium/work/output.typ
05_tables_simple_023__novisual__sonnet__qlow,05_tables_simple_023,"claude sonnet agentic (novisual, effort low)",sonnet-4.6,low,blind,v1,True,0.5837,0.6832,3/3,2.7053695000000006,93,38,runs/05_tables_simple_023__novisual__sonnet__qlow/work/output.typ
05_tables_simple_023__visual__opus__pilot,05_tables_simple_023,"claude opus agentic (visual, effort low)",opus-4.7,low,visual,v1,True,0.5039,0.5792,3/3,,,,runs/05_tables_simple_023__visual__opus__pilot/work/output.typ
05_tables_simple_023__visual__opus__qhigh,05_tables_simple_023,"claude opus agentic (visual, effort high)",opus-4.7,high,visual,v1,True,0.6312,0.7319,3/3,2.9166647500000003,54,13,runs/05_tables_simple_023__visual__opus__qhigh/work/output.typ
05_tables_simple_023__visual__opus__qmedium,05_tables_simple_023,"claude opus agentic (visual, effort medium)",opus-4.7,medium,visual,v1,True,0.4973,0.5662,3/3,2.4784277500000003,54,14,runs/05_tables_simple_023__visual__opus__qmedium/work/output.typ
05_tables_simple_023__visual__opus__v2run_v2,05_tables_simple_023,"claude opus agentic (visual, effort medium) [v2]",opus-4.7,medium,visual,v2,True,0.6366,0.7328,3/3,2.83124825,58,18,runs/05_tables_simple_023__visual__opus__v2run_v2/work/output.typ
05_tables_simple_023__visual__opus__v3run_v3,05_tables_simple_023,"claude opus agentic (visual, effort medium) [v3]",opus-4.7,medium,visual,v3,True,0.5741,0.6435,3/3,1.44313525,33,9,runs/05_tables_simple_023__visual__opus__v3run_v3/work/output.typ
05_tables_simple_023__visual__sonnet__qlow,05_tables_simple_023,"claude sonnet agentic (visual, effort low)",sonnet-4.6,low,visual,v1,True,0.5467,0.6141,3/3,2.6949958,80,23,runs/05_tables_simple_023__visual__sonnet__qlow/work/output.typ
06_tables_moderate_010__1turn__opus__base,06_tables_moderate_010,claude opus 1-turn (effort low),opus-4.7,low,1-turn,—,True,0.3542,0.3897,2/3,,,,runs/06_tables_moderate_010__1turn__opus__base/output.typ
06_tables_moderate_010__1turn__sonnet__base,06_tables_moderate_010,claude sonnet 1-turn (effort low),sonnet-4.6,low,1-turn,—,True,0.3579,0.3901,2/3,0.18413675,,,runs/06_tables_moderate_010__1turn__sonnet__base/output.typ
06_tables_moderate_010__novisual__opus__core,06_tables_moderate_010,"claude opus agentic (novisual, effort low)",opus-4.7,low,blind,v1,True,0.6758,0.7695,2/2,,,,runs/06_tables_moderate_010__novisual__opus__core/work/output.typ
06_tables_moderate_010__novisual__opus__qhigh,06_tables_moderate_010,"claude opus agentic (novisual, effort high)",opus-4.7,high,blind,v1,True,0.713,0.8029,2/2,2.6044772500000004,65,21,runs/06_tables_moderate_010__novisual__opus__qhigh/work/output.typ
06_tables_moderate_010__novisual__opus__qmedium,06_tables_moderate_010,"claude opus agentic (novisual, effort medium)",opus-4.7,medium,blind,v1,True,0.5963,0.693,2/2,1.1213192500000002,32,12,runs/06_tables_moderate_010__novisual__opus__qmedium/work/output.typ
06_tables_moderate_010__novisual__sonnet__qlow,06_tables_moderate_010,"claude sonnet agentic (novisual, effort low)",sonnet-4.6,low,blind,v1,True,0.6339,0.7248,2/2,0.7043735500000001,25,9,runs/06_tables_moderate_010__novisual__sonnet__qlow/work/output.typ
06_tables_moderate_010__visual__opus__qhigh,06_tables_moderate_010,"claude opus agentic (visual, effort high)",opus-4.7,high,visual,v1,True,0.6803,0.777,2/2,2.934045749999999,56,17,runs/06_tables_moderate_010__visual__opus__qhigh/work/output.typ
06_tables_moderate_010__visual__opus__qmedium,06_tables_moderate_010,"claude opus agentic (visual, effort medium)",opus-4.7,medium,visual,v1,True,0.6461,0.7412,2/2,2.6457070000000007,60,18,runs/06_tables_moderate_010__visual__opus__qmedium/work/output.typ
06_tables_moderate_010__visual__opus__v2run_v2,06_tables_moderate_010,"claude opus agentic (visual, effort medium) [v2]",opus-4.7,medium,visual,v2,True,0.6488,0.741,2/2,0.686792,15,3,runs/06_tables_moderate_010__visual__opus__v2run_v2/work/output.typ
06_tables_moderate_010__visual__opus__v3run_v3,06_tables_moderate_010,"claude opus agentic (visual, effort medium) [v3]",opus-4.7,medium,visual,v3,True,0.7549,0.8636,2/2,0.65879775,15,4,runs/06_tables_moderate_010__visual__opus__v3run_v3/work/output.typ
06_tables_moderate_010__visual__sonnet__qlow,06_tables_moderate_010,"claude sonnet agentic (visual, effort low)",sonnet-4.6,low,visual,v1,True,0.6428,0.7278,2/2,1.8645055,58,19,runs/06_tables_moderate_010__visual__sonnet__qlow/work/output.typ
06_tables_moderate_010__visual__sonnet__qmedium,06_tables_moderate_010,"claude sonnet agentic (visual, effort medium)",sonnet-4.6,medium,visual,v1,True,0.7475,,2/2,2.570332749999999,50,15,runs/06_tables_moderate_010__visual__sonnet__qmedium/work/output.typ
07_figures_captions_007__1turn__opus__base,07_figures_captions_007,claude opus 1-turn (effort low),opus-4.7,low,1-turn,—,False,,,,,,,runs/07_figures_captions_007__1turn__opus__base/output.typ
07_figures_captions_007__1turn__sonnet__base,07_figures_captions_007,claude sonnet 1-turn (effort low),sonnet-4.6,low,1-turn,—,False,,,,0.04468475,,,runs/07_figures_captions_007__1turn__sonnet__base/output.typ
07_figures_captions_007__novisual__opus__pilot,07_figures_captions_007,"claude opus agentic (novisual, effort low)",opus-4.7,low,blind,v1,True,0.6996,0.8194,1/1,,,,runs/07_figures_captions_007__novisual__opus__pilot/work/output.typ
07_figures_captions_007__novisual__opus__qhigh,07_figures_captions_007,"claude opus agentic (novisual, effort high)",opus-4.7,high,blind,v1,True,0.7682,,1/1,2.4048005000000003,58,20,runs/07_figures_captions_007__novisual__opus__qhigh/work/output.typ
07_figures_captions_007__novisual__opus__qmedium,07_figures_captions_007,"claude opus agentic (novisual, effort medium)",opus-4.7,medium,blind,v1,True,0.5594,0.6663,1/1,0.38652725000000004,11,3,runs/07_figures_captions_007__novisual__opus__qmedium/work/output.typ
07_figures_captions_007__novisual__sonnet__qlow,07_figures_captions_007,"claude sonnet agentic (novisual, effort low)",sonnet-4.6,low,blind,v1,True,0.6549,,1/1,1.3728337,53,21,runs/07_figures_captions_007__novisual__sonnet__qlow/work/output.typ
07_figures_captions_007__visual__opus__pilot,07_figures_captions_007,"claude opus agentic (visual, effort low)",opus-4.7,low,visual,v1,True,0.6941,0.8184,1/1,,,,runs/07_figures_captions_007__visual__opus__pilot/work/output.typ
07_figures_captions_007__visual__opus__qhigh,07_figures_captions_007,"claude opus agentic (visual, effort high)",opus-4.7,high,visual,v1,True,0.8237,,1/1,2.253946499999999,55,16,runs/07_figures_captions_007__visual__opus__qhigh/work/output.typ
07_figures_captions_007__visual__opus__qmedium,07_figures_captions_007,"claude opus agentic (visual, effort medium)",opus-4.7,medium,visual,v1,True,0.7913,0.8852,1/1,0.5173212500000001,16,5,runs/07_figures_captions_007__visual__opus__qmedium/work/output.typ
07_figures_captions_007__visual__opus__v2run_v2,07_figures_captions_007,"claude opus agentic (visual, effort medium) [v2]",opus-4.7,medium,visual,v2,True,0.8182,0.9015,1/1,0.78571625,22,7,runs/07_figures_captions_007__visual__opus__v2run_v2/work/output.typ
07_figures_captions_007__visual__opus__v3run_v3,07_figures_captions_007,"claude opus agentic (visual, effort medium) [v3]",opus-4.7,medium,visual,v3,True,0.8009,0.892,1/1,0.6024755,18,5,runs/07_figures_captions_007__visual__opus__v3run_v3/work/output.typ
07_figures_captions_007__visual__sonnet__qlow,07_figures_captions_007,"claude sonnet agentic (visual, effort low)",sonnet-4.6,low,visual,v1,True,0.6722,0.767,1/1,2.1653952999999992,80,29,runs/07_figures_captions_007__visual__sonnet__qlow/work/output.typ
09_algorithms_003__1turn__opus__base,09_algorithms_003,claude opus 1-turn (effort low),opus-4.7,low,1-turn,—,True,0.4937,0.5645,2/2,,,,runs/09_algorithms_003__1turn__opus__base/output.typ
09_algorithms_003__1turn__sonnet__base,09_algorithms_003,claude sonnet 1-turn (effort low),sonnet-4.6,low,1-turn,—,True,0.3933,0.4244,2/2,0.0639865,,,runs/09_algorithms_003__1turn__sonnet__base/output.typ
09_algorithms_003__novisual__opus__core,09_algorithms_003,"claude opus agentic (novisual, effort low)",opus-4.7,low,blind,v1,True,0.4224,0.466,2/2,,,,runs/09_algorithms_003__novisual__opus__core/work/output.typ
09_algorithms_003__novisual__opus__qhigh,09_algorithms_003,"claude opus agentic (novisual, effort high)",opus-4.7,high,blind,v1,True,0.5768,0.6849,2/2,3.0142925,71,23,runs/09_algorithms_003__novisual__opus__qhigh/work/output.typ
09_algorithms_003__novisual__opus__qmedium,09_algorithms_003,"claude opus agentic (novisual, effort medium)",opus-4.7,medium,blind,v1,True,0.5506,0.6183,2/2,0.21624975,4,1,runs/09_algorithms_003__novisual__opus__qmedium/work/output.typ
09_algorithms_003__novisual__sonnet__qlow,09_algorithms_003,"claude sonnet agentic (novisual, effort low)",sonnet-4.6,low,blind,v1,True,0.5178,0.5877,2/2,0.43230250000000003,16,7,runs/09_algorithms_003__novisual__sonnet__qlow/work/output.typ
09_algorithms_003__visual__opus__qhigh,09_algorithms_003,"claude opus agentic (visual, effort high)",opus-4.7,high,visual,v1,True,0.7048,0.8326,2/2,2.77139475,59,17,runs/09_algorithms_003__visual__opus__qhigh/work/output.typ
09_algorithms_003__visual__opus__qmedium,09_algorithms_003,"claude opus agentic (visual, effort medium)",opus-4.7,medium,visual,v1,True,0.782,0.8792,2/2,0.99660575,28,8,runs/09_algorithms_003__visual__opus__qmedium/work/output.typ
09_algorithms_003__visual__opus__v2run_v2,09_algorithms_003,"claude opus agentic (visual, effort medium) [v2]",opus-4.7,medium,visual,v2,True,0.7457,0.8502,2/2,1.7668142500000004,37,13,runs/09_algorithms_003__visual__opus__v2run_v2/work/output.typ
09_algorithms_003__visual__opus__v3run_v3,09_algorithms_003,"claude opus agentic (visual, effort medium) [v3]",opus-4.7,medium,visual,v3,True,0.78,0.8675,2/2,0.58773325,16,4,runs/09_algorithms_003__visual__opus__v3run_v3/work/output.typ
09_algorithms_003__visual__sonnet__qlow,09_algorithms_003,"claude sonnet agentic (visual, effort low)",sonnet-4.6,low,visual,v1,True,0.7091,0.7813,2/2,2.1788342500000004,78,25,runs/09_algorithms_003__visual__sonnet__qlow/work/output.typ
