sample_id,set,method,run,v01_overall,v01_layout,v01_raster,v01_pagination,page_count_delta,canvas_exact_rate,canvas_wlog_max,strict_f1,strict_recall,strict_prec,nfkc_edit_sim,number_f1,operator_f1,citation_f1,center_q50,center_q90,geom_ref_cov,ltsim_elem,ltsim_macro,ltsim_worst,page_break_f1,page_assign_acc,kendall_tau,tau_cov,typo_style_hmean,font_size_q90,ink_f1_reg,ink_f1_unreg,ssim_reg,ssim_eligible_pages,tables,formulas,figures
04_math_aligned_014,lathe_hard,claude opus 1-turn (effort low),04_math_aligned_014__1turn__opus__base,45.7,56.4,7.7,58.7,-1,1.0,0.0,0.433,0.394,0.48,0.78,0.987,0.976,1.0,0.1,0.63,0.542,0.699,0.699,0.699,0.0,0.947,0.939,0.833,0.596,0.034,0.158,0.143,0.758,1,abstain,abstain,abstain
04_math_aligned_014,lathe_hard,claude sonnet 1-turn (effort low),04_math_aligned_014__1turn__sonnet__base,42.7,57.0,5.4,58.7,-1,1.0,0.0,0.433,0.394,0.482,0.775,0.947,0.976,1.0,0.071,0.7,0.542,0.703,0.703,0.703,0.0,0.948,0.916,0.856,0.597,0.034,0.225,0.089,0.778,1,abstain,abstain,abstain
05_tables_simple_023,lathe_hard,claude opus 1-turn (effort low),05_tables_simple_023__1turn__opus__base,32.9,26.4,3.8,50.4,-1,1.0,0.0,0.907,0.968,0.854,0.812,0.951,0.909,1.0,0.078,0.345,0.992,0.672,0.671,0.648,0.0,0.75,0.667,0.444,0.929,0.844,0.087,0.063,0.742,2,abstain,abstain,abstain
05_tables_simple_023,lathe_hard,claude sonnet 1-turn (effort low),05_tables_simple_023__1turn__sonnet__base,51.8,60.1,9.2,100.0,0,1.0,0.0,0.907,0.968,0.854,0.812,0.951,0.909,1.0,0.106,0.334,0.992,0.694,0.696,0.693,0.0,0.75,0.667,0.444,0.929,0.844,0.339,0.191,0.75,3,abstain,abstain,abstain
05_tables_simple_023,lathe_hard,"claude opus agentic (novisual, effort low)",05_tables_simple_023__novisual__opus__pilot,58.2,79.2,11.0,100.0,0,1.0,0.0,0.907,0.968,0.854,0.812,0.951,0.909,1.0,0.056,0.123,0.992,0.702,0.702,0.696,0.5,0.8,0.8,0.556,0.929,0.058,0.44,0.234,0.692,3,abstain,abstain,abstain
05_tables_simple_023,lathe_hard,"claude opus agentic (novisual, effort high)",05_tables_simple_023__novisual__opus__qhigh,55.6,66.5,10.7,100.0,0,1.0,0.0,0.909,0.97,0.854,0.852,0.952,0.909,1.0,0.102,0.247,0.994,0.736,0.747,0.715,1.0,1.0,1.0,0.667,0.93,0.614,0.547,0.225,0.816,3,abstain,abstain,abstain
05_tables_simple_023,lathe_hard,"claude opus agentic (novisual, effort medium)",05_tables_simple_023__novisual__opus__qmedium,61.3,79.4,15.2,100.0,0,1.0,0.0,0.889,0.951,0.834,0.786,0.951,0.909,1.0,0.043,0.098,0.975,0.724,0.722,0.713,0.4,0.714,0.905,0.778,0.911,0.16,0.558,0.313,0.774,3,abstain,abstain,abstain
05_tables_simple_023,lathe_hard,"claude sonnet agentic (novisual, effort high)",05_tables_simple_023__novisual__sonnet__qhigh,57.6,65.5,14.0,100.0,0,1.0,0.0,0.907,0.968,0.854,0.851,0.951,0.909,1.0,0.085,0.278,0.992,0.698,0.713,0.693,0.0,0.75,0.667,0.444,0.929,0.844,0.365,0.297,0.791,3,abstain,abstain,abstain
05_tables_simple_023,lathe_hard,"claude sonnet agentic (novisual, effort low)",05_tables_simple_023__novisual__sonnet__qlow,58.4,73.1,12.1,100.0,0,1.0,0.0,0.905,0.966,0.85,0.804,0.951,0.909,1.0,0.053,0.091,0.989,0.701,0.754,0.691,1.0,1.0,1.0,0.444,0.926,0.091,0.495,0.257,0.724,3,abstain,abstain,abstain
05_tables_simple_023,lathe_hard,"claude sonnet agentic (novisual, effort medium)",05_tables_simple_023__novisual__sonnet__qmedium,60.1,65.7,18.1,100.0,0,1.0,0.0,0.909,0.97,0.854,0.852,0.952,0.909,1.0,0.091,0.284,0.994,0.704,0.736,0.692,1.0,1.0,1.0,0.444,0.93,0.844,0.437,0.364,0.806,3,abstain,abstain,abstain
