sample_id,category,source_split,selected_ai_stage,ai_final_compiled,reference_pages,ai_pages,page_count_match,pandoc_compile,tylax_compile,typetex_compile,source_comparison_pdf,source_pdf_page,report_page
01_prose_sections_001,01_prose_sections,prompt_dev,v0,True,1,1,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,3,3
01_prose_sections_002,01_prose_sections,heldout,v2,True,1,1,True,failed,ok,failed,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,3,4
01_prose_sections_003,01_prose_sections,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,4,5
01_prose_sections_004,01_prose_sections,heldout,v1,True,2,2,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,5,6
01_prose_sections_006,01_prose_sections,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,6,7
01_prose_sections_007,01_prose_sections,heldout,v1,True,1,2,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,7,8
01_prose_sections_008,01_prose_sections,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,8,9
01_prose_sections_009,01_prose_sections,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,9,10
01_prose_sections_010,01_prose_sections,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,10,11
01_prose_sections_011,01_prose_sections,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,11,12
01_prose_sections_012,01_prose_sections,heldout,v2,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,12,13
01_prose_sections_013,01_prose_sections,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,13,14
01_prose_sections_014,01_prose_sections,prompt_dev,v0,True,1,1,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,4,15
02_lists_formatting_002,02_lists_formatting,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,15,17
02_lists_formatting_003,02_lists_formatting,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,16,18
02_lists_formatting_006,02_lists_formatting,heldout,v2,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,17,19
02_lists_formatting_008,02_lists_formatting,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,18,20
02_lists_formatting_011,02_lists_formatting,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,19,21
02_lists_formatting_012,02_lists_formatting,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,20,22
02_lists_formatting_013,02_lists_formatting,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,21,23
02_lists_formatting_014,02_lists_formatting,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,22,24
02_lists_formatting_015,02_lists_formatting,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,23,25
02_lists_formatting_018,02_lists_formatting,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,24,26
02_lists_formatting_020,02_lists_formatting,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,25,27
