sample_id,category,selected_ai_stage,ai_final_compiled,ai_attempts_selected_stage,reference_pages,ai_pages,page_count_match,v1_final_compiled,v2_final_compiled,v3_final_compiled,pandoc_compile,tylax_compile,typetex_compile
01_prose_sections_002,01_prose_sections,v2,True,2,1,1,True,False,True,False,failed,ok,failed
01_prose_sections_003,01_prose_sections,v1,True,2,1,1,True,True,False,False,ok,ok,ok
01_prose_sections_004,01_prose_sections,v1,True,1,2,2,True,True,False,False,ok,ok,ok
01_prose_sections_006,01_prose_sections,v1,True,2,1,1,True,True,False,False,ok,ok,ok
01_prose_sections_007,01_prose_sections,v1,True,1,1,2,False,True,False,False,ok,ok,ok
01_prose_sections_008,01_prose_sections,v1,True,1,1,1,True,True,False,False,ok,ok,ok
01_prose_sections_009,01_prose_sections,v1,True,1,1,1,True,True,False,False,ok,ok,ok
01_prose_sections_010,01_prose_sections,v1,True,1,1,1,True,True,False,False,ok,failed,ok
01_prose_sections_011,01_prose_sections,v1,True,1,1,1,True,True,False,False,ok,ok,ok
01_prose_sections_012,01_prose_sections,v2,True,1,1,1,True,False,True,False,ok,ok,ok
01_prose_sections_013,01_prose_sections,v1,True,1,1,1,True,True,False,False,ok,ok,ok
02_lists_formatting_002,02_lists_formatting,v1,True,1,1,1,True,True,False,False,ok,failed,ok
02_lists_formatting_003,02_lists_formatting,v1,True,1,1,1,True,True,False,False,ok,ok,ok
02_lists_formatting_006,02_lists_formatting,v2,True,1,1,1,True,False,True,False,ok,ok,ok
02_lists_formatting_008,02_lists_formatting,v1,True,1,1,1,True,True,False,False,ok,failed,ok
02_lists_formatting_011,02_lists_formatting,v1,True,1,1,1,True,True,False,False,ok,ok,ok
02_lists_formatting_012,02_lists_formatting,v1,True,1,1,1,True,True,False,False,ok,ok,ok
02_lists_formatting_013,02_lists_formatting,v1,True,1,1,1,True,True,False,False,ok,ok,ok
02_lists_formatting_014,02_lists_formatting,v1,True,1,1,1,True,True,False,False,ok,ok,ok
02_lists_formatting_015,02_lists_formatting,v1,True,2,1,1,True,True,False,False,ok,ok,ok
02_lists_formatting_018,02_lists_formatting,v1,True,1,1,1,True,True,False,False,ok,failed,ok
02_lists_formatting_020,02_lists_formatting,v1,True,2,1,1,True,True,False,False,ok,failed,ok
02_lists_formatting_021,02_lists_formatting,v1,True,1,1,1,True,True,False,False,ok,failed,ok
03_math_inline_display_001,03_math_inline_display,v2,True,2,1,1,True,False,True,False,ok,failed,ok
03_math_inline_display_002,03_math_inline_display,v2,True,2,1,1,True,False,True,False,ok,failed,ok
