sample_id,category,complexity_band,attempt,error_class,eventual_result,summary,log_path
arxiv5t_paper_002,arxiv5t_paper,expansion,1,unknown_symbol_or_function,final_failure,error: unknown variable: section,samples/arxiv5t_paper_002/attempt_1_compile.log
arxiv5t_paper_002,arxiv5t_paper,expansion,2,unknown_symbol_or_function,final_failure,error: unknown variable: igma,samples/arxiv5t_paper_002/attempt_2_compile.log
arxiv5t_paper_006,arxiv5t_paper,expansion,1,other_compile_error,final_failure,error: file not found (searched at ./results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/arxiv5t_paper_006/src/authors.tex),samples/arxiv5t_paper_006/attempt_1_compile.log
arxiv5t_paper_006,arxiv5t_paper,expansion,2,other_compile_error,final_failure,error: file not found (searched at ./results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/expansion_32_claude_prompt_v1/samples/arxiv5t_paper_006/src/0-abstract.tex),samples/arxiv5t_paper_006/attempt_2_compile.log
arxiv5t_paper_019,arxiv5t_paper,expansion,1,unknown_symbol_or_function,final_failure,error: unknown variable: otimes,samples/arxiv5t_paper_019/attempt_1_compile.log
arxiv5t_paper_019,arxiv5t_paper,expansion,2,unknown_symbol_or_function,final_failure,error: unknown variable: supp,samples/arxiv5t_paper_019/attempt_2_compile.log
arxiv5t_paper_020,arxiv5t_paper,expansion,1,general_syntax,final_failure,error: unexpected hat,samples/arxiv5t_paper_020/attempt_1_compile.log
arxiv5t_paper_020,arxiv5t_paper,expansion,2,general_syntax,final_failure,error: unexpected hat,samples/arxiv5t_paper_020/attempt_2_compile.log
arxiv5t_paper_022,arxiv5t_paper,expansion,1,general_syntax,final_failure,error: unclosed delimiter,samples/arxiv5t_paper_022/attempt_1_compile.log
arxiv5t_paper_022,arxiv5t_paper,expansion,2,general_syntax,final_failure,error: unclosed delimiter,samples/arxiv5t_paper_022/attempt_2_compile.log
i2s_algorithm_001,i2s_algorithm,expansion,1,unknown_symbol_or_function,final_failure,error: unknown variable: section,samples/i2s_algorithm_001/attempt_1_compile.log
i2s_algorithm_001,i2s_algorithm,expansion,2,unknown_symbol_or_function,final_failure,error: unknown variable: hspace,samples/i2s_algorithm_001/attempt_2_compile.log
i2s_algorithm_003,i2s_algorithm,expansion,1,unknown_symbol_or_function,repaired,error: unknown variable: section,samples/i2s_algorithm_003/attempt_1_compile.log
i2s_algorithm_005,i2s_algorithm,expansion,1,reference_or_label,final_failure,error: unclosed delimiter,samples/i2s_algorithm_005/attempt_1_compile.log
i2s_algorithm_005,i2s_algorithm,expansion,2,general_syntax,final_failure,error: unclosed delimiter,samples/i2s_algorithm_005/attempt_2_compile.log
i2s_algorithm_008,i2s_algorithm,expansion,1,unknown_symbol_or_function,repaired,error: unknown variable: section,samples/i2s_algorithm_008/attempt_1_compile.log
i2s_equation_003,i2s_equation,expansion,1,unknown_symbol_or_function,repaired,error: unknown variable: GNN,samples/i2s_equation_003/attempt_1_compile.log
i2s_equation_004,i2s_equation,expansion,1,general_syntax,final_failure,error: unclosed delimiter,samples/i2s_equation_004/attempt_1_compile.log
i2s_equation_004,i2s_equation,expansion,2,general_syntax,final_failure,error: unclosed delimiter,samples/i2s_equation_004/attempt_2_compile.log
i2s_plot_001,i2s_plot,expansion,1,unknown_symbol_or_function,final_failure,error: unknown variable: section,samples/i2s_plot_001/attempt_1_compile.log
i2s_plot_001,i2s_plot,expansion,2,other_compile_error,final_failure,"error: panicked with: ""Failed to resolve coordinate: (328.41, 104.55)""",samples/i2s_plot_001/attempt_2_compile.log
i2s_plot_002,i2s_plot,expansion,1,general_syntax,repaired,"error: expected length or auto, found float",samples/i2s_plot_002/attempt_1_compile.log
i2s_plot_003,i2s_plot,expansion,1,unknown_symbol_or_function,final_failure,error: unknown variable: canvas,samples/i2s_plot_003/attempt_1_compile.log
i2s_plot_003,i2s_plot,expansion,2,other_compile_error,final_failure,"error: panicked with: ""Failed to resolve coordinate: (52.05, 101.79)""",samples/i2s_plot_003/attempt_2_compile.log
i2s_plot_004,i2s_plot,expansion,1,unknown_symbol_or_function,final_failure,error: unknown variable: section,samples/i2s_plot_004/attempt_1_compile.log
i2s_plot_004,i2s_plot,expansion,2,general_syntax,final_failure,"error: expected relative length, found float",samples/i2s_plot_004/attempt_2_compile.log
i2s_plot_005,i2s_plot,expansion,1,unknown_symbol_or_function,final_failure,error: unknown variable: section,samples/i2s_plot_005/attempt_1_compile.log
i2s_plot_005,i2s_plot,expansion,2,other_compile_error,final_failure,"error: panicked with: ""Failed to resolve coordinate: (31.05, 33.189750000000004)""",samples/i2s_plot_005/attempt_2_compile.log
i2s_table_002,i2s_table,expansion,1,general_syntax,final_failure,error: unexpected dots,samples/i2s_table_002/attempt_1_compile.log
i2s_table_002,i2s_table,expansion,2,unknown_symbol_or_function,final_failure,error: unknown variable: section,samples/i2s_table_002/attempt_2_compile.log
i2s_table_004,i2s_table,expansion,1,unknown_symbol_or_function,final_failure,error: unknown variable: section,samples/i2s_table_004/attempt_1_compile.log
i2s_table_004,i2s_table,expansion,2,general_syntax,final_failure,error: unexpected argument: offset,samples/i2s_table_004/attempt_2_compile.log
i2s_table_007,i2s_table,expansion,1,unknown_symbol_or_function,repaired,error: unknown variable: section,samples/i2s_table_007/attempt_1_compile.log
i2s_table_008,i2s_table,expansion,1,unknown_symbol_or_function,repaired,error: unknown variable: section,samples/i2s_table_008/attempt_1_compile.log
neurips_paper_029,neurips_paper,expansion,1,general_syntax,final_failure,error: unexpected hat,samples/neurips_paper_029/attempt_1_compile.log
neurips_paper_029,neurips_paper,expansion,2,general_syntax,final_failure,error: unexpected hat,samples/neurips_paper_029/attempt_2_compile.log
neurips_paper_036,neurips_paper,expansion,1,unknown_symbol_or_function,final_failure,error: unknown variable: section,samples/neurips_paper_036/attempt_1_compile.log
neurips_paper_036,neurips_paper,expansion,2,unknown_symbol_or_function,final_failure,error: unknown variable: SE,samples/neurips_paper_036/attempt_2_compile.log
pubmed_table_001,pubmed_table,expansion,1,unknown_symbol_or_function,repaired,error: unknown variable: section,samples/pubmed_table_001/attempt_1_compile.log
pubmed_table_002,pubmed_table,expansion,1,general_syntax,final_failure,error: unclosed delimiter,samples/pubmed_table_002/attempt_1_compile.log
pubmed_table_002,pubmed_table,expansion,2,general_syntax,final_failure,error: unclosed delimiter,samples/pubmed_table_002/attempt_2_compile.log
pubmed_table_003,pubmed_table,expansion,1,unknown_symbol_or_function,final_failure,error: unknown variable: section,samples/pubmed_table_003/attempt_1_compile.log
pubmed_table_003,pubmed_table,expansion,2,general_syntax,final_failure,error: unexpected argument: rowspan,samples/pubmed_table_003/attempt_2_compile.log
pubmed_table_004,pubmed_table,expansion,1,unknown_symbol_or_function,repaired,error: unknown variable: section,samples/pubmed_table_004/attempt_1_compile.log
pubmed_table_005,pubmed_table,expansion,1,general_syntax,final_failure,error: unexpected dots,samples/pubmed_table_005/attempt_1_compile.log
pubmed_table_005,pubmed_table,expansion,2,general_syntax,final_failure,error: unclosed delimiter,samples/pubmed_table_005/attempt_2_compile.log
