sample_id,category,attempt,warning,compile_ok,log_path
arxiv5t_paper_019,arxiv5t_paper,2,"`times.circle` is deprecated, use `times.o` instead",False,samples/arxiv5t_paper_019/attempt_2_compile.log
arxiv5t_paper_019,arxiv5t_paper,2,"`times.circle` is deprecated, use `times.o` instead",False,samples/arxiv5t_paper_019/attempt_2_compile.log
i2s_algorithm_001,i2s_algorithm,1,unknown font family: serif,False,samples/i2s_algorithm_001/attempt_1_compile.log
i2s_algorithm_001,i2s_algorithm,2,unknown font family: linux libertine,False,samples/i2s_algorithm_001/attempt_2_compile.log
i2s_algorithm_004,i2s_algorithm,1,unknown font family: serif,True,samples/i2s_algorithm_004/attempt_1_compile.log
i2s_algorithm_008,i2s_algorithm,1,unknown font family: serif,False,samples/i2s_algorithm_008/attempt_1_compile.log
i2s_algorithm_008,i2s_algorithm,2,unknown font family: linux libertine,True,samples/i2s_algorithm_008/attempt_2_compile.log
i2s_equation_001,i2s_equation,1,unknown font family: serif,True,samples/i2s_equation_001/attempt_1_compile.log
i2s_equation_003,i2s_equation,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/i2s_equation_003/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,unknown font family: serif,True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_005,i2s_equation,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/i2s_equation_005/attempt_1_compile.log
i2s_equation_006,i2s_equation,1,unknown font family: serif,True,samples/i2s_equation_006/attempt_1_compile.log
i2s_plot_001,i2s_plot,1,unknown font family: computer modern,False,samples/i2s_plot_001/attempt_1_compile.log
i2s_table_006,i2s_table,1,unknown font family: serif,True,samples/i2s_table_006/attempt_1_compile.log
i2s_table_008,i2s_table,1,unknown font family: serif,False,samples/i2s_table_008/attempt_1_compile.log
i2s_table_008,i2s_table,2,unknown font family: linux libertine,True,samples/i2s_table_008/attempt_2_compile.log
neurips_paper_036,neurips_paper,1,unknown font family: linux libertine,False,samples/neurips_paper_036/attempt_1_compile.log
neurips_paper_036,neurips_paper,2,unknown font family: linux libertine o,False,samples/neurips_paper_036/attempt_2_compile.log
pubmed_table_001,pubmed_table,1,unknown font family: serif,False,samples/pubmed_table_001/attempt_1_compile.log
pubmed_table_001,pubmed_table,2,unknown font family: linux libertine,True,samples/pubmed_table_001/attempt_2_compile.log
pubmed_table_003,pubmed_table,1,unknown font family: linux libertine,False,samples/pubmed_table_003/attempt_1_compile.log
pubmed_table_003,pubmed_table,2,unknown font family: linux libertine o,False,samples/pubmed_table_003/attempt_2_compile.log
pubmed_table_004,pubmed_table,1,unknown font family: serif,False,samples/pubmed_table_004/attempt_1_compile.log
pubmed_table_004,pubmed_table,2,unknown font family: linux libertine,True,samples/pubmed_table_004/attempt_2_compile.log
