sample_id,category,attempt,warning,compile_ok,log_path
03_math_inline_display_001,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_001/attempt_1_compile.log
03_math_inline_display_001,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_001/attempt_1_compile.log
03_math_inline_display_001,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_001/attempt_1_compile.log
03_math_inline_display_001,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_001/attempt_1_compile.log
03_math_inline_display_002,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_002/attempt_1_compile.log
03_math_inline_display_002,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_002/attempt_1_compile.log
03_math_inline_display_002,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_002/attempt_1_compile.log
03_math_inline_display_002,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_002/attempt_1_compile.log
03_math_inline_display_002,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_002/attempt_1_compile.log
03_math_inline_display_002,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_002/attempt_1_compile.log
03_math_inline_display_002,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_002/attempt_1_compile.log
03_math_inline_display_002,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_002/attempt_1_compile.log
03_math_inline_display_002,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_002/attempt_1_compile.log
03_math_inline_display_002,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_002/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_005,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_005/attempt_1_compile.log
03_math_inline_display_007,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_007/attempt_1_compile.log
03_math_inline_display_009,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_009/attempt_1_compile.log
03_math_inline_display_009,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_009/attempt_1_compile.log
03_math_inline_display_009,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_009/attempt_1_compile.log
03_math_inline_display_009,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_009/attempt_1_compile.log
03_math_inline_display_010,03_math_inline_display,2,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/03_math_inline_display_010/attempt_2_compile.log
03_math_inline_display_010,03_math_inline_display,2,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/03_math_inline_display_010/attempt_2_compile.log
03_math_inline_display_010,03_math_inline_display,2,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/03_math_inline_display_010/attempt_2_compile.log
03_math_inline_display_010,03_math_inline_display,2,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/03_math_inline_display_010/attempt_2_compile.log
03_math_inline_display_016,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/03_math_inline_display_016/attempt_1_compile.log
03_math_inline_display_016,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/03_math_inline_display_016/attempt_1_compile.log
04_math_aligned_006,04_math_aligned,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/04_math_aligned_006/attempt_1_compile.log
04_math_aligned_006,04_math_aligned,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/04_math_aligned_006/attempt_1_compile.log
04_math_aligned_006,04_math_aligned,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/04_math_aligned_006/attempt_1_compile.log
04_math_aligned_006,04_math_aligned,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/04_math_aligned_006/attempt_1_compile.log
04_math_aligned_006,04_math_aligned,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/04_math_aligned_006/attempt_1_compile.log
04_math_aligned_006,04_math_aligned,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/04_math_aligned_006/attempt_1_compile.log
04_math_aligned_006,04_math_aligned,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/04_math_aligned_006/attempt_1_compile.log
04_math_aligned_006,04_math_aligned,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/04_math_aligned_006/attempt_1_compile.log
04_math_aligned_006,04_math_aligned,1,"`angle.l` is deprecated, use `chevron.l` instead",False,samples/04_math_aligned_006/attempt_1_compile.log
04_math_aligned_006,04_math_aligned,1,"`angle.r` is deprecated, use `chevron.r` instead",False,samples/04_math_aligned_006/attempt_1_compile.log
04_math_aligned_011,04_math_aligned,2,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/04_math_aligned_011/attempt_2_compile.log
04_math_aligned_011,04_math_aligned,2,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/04_math_aligned_011/attempt_2_compile.log
07_figures_captions_013,07_figures_captions,1,unknown font family: monospace,True,samples/07_figures_captions_013/attempt_1_compile.log
09_algorithms_017,09_algorithms,1,unknown font family: monospace,False,samples/09_algorithms_017/attempt_1_compile.log
09_algorithms_017,09_algorithms,2,unknown font family: consolas,False,samples/09_algorithms_017/attempt_2_compile.log
