sample_id,category,attempt,warning,compile_ok,log_path
03_math_inline_display_014,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/03_math_inline_display_014/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/03_math_inline_display_014/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/03_math_inline_display_014/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/03_math_inline_display_014/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/03_math_inline_display_014/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/03_math_inline_display_014/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/03_math_inline_display_014/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/03_math_inline_display_014/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,1,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/03_math_inline_display_014/attempt_1_compile.log
03_math_inline_display_014,03_math_inline_display,1,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/03_math_inline_display_014/attempt_1_compile.log
04_math_aligned_012,04_math_aligned,2,"`angle.l` is deprecated, use `chevron.l` instead",True,samples/04_math_aligned_012/attempt_2_compile.log
04_math_aligned_012,04_math_aligned,2,"`angle.r` is deprecated, use `chevron.r` instead",True,samples/04_math_aligned_012/attempt_2_compile.log
