blind_id,sample_id,candidate_key,display_label,model_id,protocol_id,candidate_pdf
B-069C2,03_math_inline_display_004,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/03_math_inline_display_004/output.pdf
B-5292C,03_math_inline_display_004,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,claude-sonnet-4-6,sonnet_one_turn_low,
B-55447,03_math_inline_display_004,claude_opus_4_7,Claude Opus 4.7 - one-turn low,claude-opus-4-7,opus_one_turn_low,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/03_math_inline_display_004/claude-opus-4-7.pdf
B-02498,04_math_aligned_014,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf
B-D5443,04_math_aligned_014,claude_opus_4_7,Claude Opus 4.7 - one-turn low,claude-opus-4-7,opus_one_turn_low,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-opus-4-7.pdf
B-E4683,04_math_aligned_014,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,claude-sonnet-4-6,sonnet_one_turn_low,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/04_math_aligned_014/claude-sonnet-4-6.pdf
B-2FD6E,05_tables_simple_005,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf
B-44A51,05_tables_simple_005,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-sonnet-4-6.pdf
B-96203,05_tables_simple_005,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_005/claude-opus-4-7.pdf
B-211B2,05_tables_simple_021,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf
B-64ADB,05_tables_simple_021,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-sonnet-4-6.pdf
B-EE254,05_tables_simple_021,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-opus-4-7.pdf
B-2B48D,05_tables_simple_023,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_023/claude-opus-4-7.pdf
B-3EF85,05_tables_simple_023,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_023/claude-sonnet-4-6.pdf
B-DD2B3,05_tables_simple_023,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_023/output.pdf
B-44FC0,06_tables_moderate_010,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/06_tables_moderate_010/output.pdf
B-6DCD7,06_tables_moderate_010,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/06_tables_moderate_010/claude-sonnet-4-6.pdf
B-BE700,06_tables_moderate_010,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/06_tables_moderate_010/claude-opus-4-7.pdf
B-22DDF,07_figures_captions_007,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/07_figures_captions_007/output.pdf
B-A63D1,07_figures_captions_007,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/07_figures_captions_007/claude-opus-4-7.pdf
B-AA869,07_figures_captions_007,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/07_figures_captions_007/claude-sonnet-4-6.pdf
B-027FF,09_algorithms_003,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/09_algorithms_003/claude-opus-4-7.pdf
B-71DDC,09_algorithms_003,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/09_algorithms_003/claude-sonnet-4-6.pdf
B-B26D0,09_algorithms_003,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/09_algorithms_003/output.pdf
