family,severity,case,scorecard_status,failed_gates,review_flags,content,content_precision,content_recall,layout,typography,appearance_proxy,pagination,legacy_overall
identity,0,identity,pass,,,1.0,1.0,1.0,0.9941176470588236,1.0,1.0,1.0,0.9984672481127989
translation,2,shift_4px,pass,,,1.0,1.0,1.0,0.9763026984069081,1.0,0.9496688733895517,0.9996717941170846,0.8707669370424301
translation,4,shift_8px,review,,appearance_layout_disagreement,1.0,1.0,1.0,0.9593340827260292,1.0,0.65667081083167,0.9991179892964546,0.8037387533093443
translation,8,shift_16px,review,,appearance_layout_disagreement,1.0,1.0,1.0,0.927776899981715,1.0,0.30362316161443065,0.987748790105516,0.6391781382296199
translation,16,shift_32px,review,,appearance_layout_disagreement,1.0,1.0,1.0,0.873172405899092,1.0,0.08845407083354982,0.9508213495779145,0.49505926943700557
text_deletion,1,delete_1_table_rows,review,,numeric_token_mismatch,0.9821722030862848,1.0,0.9651162790697675,0.9939024390243902,1.0,0.9715884863655321,0.9834379174957766,0.9826198729224436
text_deletion,2,delete_2_table_rows,fail,token_recall,numeric_token_mismatch,0.9639239372186911,1.0,0.9302325581395349,0.9936708860759493,1.0,0.9288194136933429,0.9651581820298375,0.9654307469075276
text_deletion,4,delete_4_table_rows,fail,token_recall,numeric_token_mismatch,0.9263606594399277,1.0,0.8604651162790697,0.9931506849315068,1.0,0.8606159436305622,0.9221663630805308,0.9413258056171809
wrong_numbers,1,change_1_numeric_tokens,review,,numeric_token_mismatch,0.9908567724701446,0.9883720930232558,0.9883720930232558,0.9940476190476191,1.0,0.999981313257554,0.9891263837475863,0.9952013386759367
wrong_numbers,2,change_2_numeric_tokens,review,,numeric_token_mismatch,0.9806594053576685,0.9767441860465116,0.9767441860465116,0.9939759036144579,1.0,0.9995431291160859,0.9782494435411357,0.9913136036699596
wrong_numbers,4,change_4_numeric_tokens,review,,numeric_token_mismatch,0.9604866494401378,0.9534883720930233,0.9534883720930233,0.9938271604938271,1.0,0.9983461554433065,0.9564716363062747,0.9834849403779101
font_substitution,1,font_plus_1pt,pass,,,1.0,1.0,1.0,0.8854432589873755,0.9134862104548886,0.9085463480965448,0.998261697696063,0.8828279384966055
font_substitution,2,font_plus_2pt,pass,,,1.0,1.0,1.0,0.8064494536398444,0.8533106844111497,0.8344189320610608,0.996139772156626,0.8283615756724535
font_substitution,4,font_plus_4pt,pass,,,0.9900057251154893,0.9883720930232558,0.9883720930232558,0.6996519726476232,0.7784293398525304,0.7023843222467914,0.9763808660439685,0.7486368546924771
obstruction,60,obstruction_60px,pass,,,1.0,1.0,1.0,0.9941176470588236,1.0,0.9576966778845003,0.9988843089146983,0.9885215664300625
obstruction,120,obstruction_120px,pass,,,1.0,1.0,1.0,0.9941176470588236,1.0,0.9286884970232396,0.9980118475101946,0.9810901545618022
obstruction,240,obstruction_240px,pass,,,1.0,1.0,1.0,0.9941176470588236,1.0,0.8971984423212008,0.997326222180907,0.969170159054339
extra_pages,1,append_1_blank_pages,fail,page_count,low_page_sequence_alignment,1.0,1.0,1.0,0.9941176470588236,1.0,0.825,0.75,0.9607157279689318
extra_pages,2,append_2_blank_pages,fail,page_count,low_page_sequence_alignment;appearance_layout_disagreement,1.0,1.0,1.0,0.9941176470588236,1.0,0.72,0.6,0.9357567819523117
extra_pages,3,append_3_blank_pages,fail,page_count,low_page_sequence_alignment;appearance_layout_disagreement,1.0,1.0,1.0,0.9941176470588236,1.0,0.6499999999999999,0.5,0.9179312140230484
missing_pages,1,remove_last_page,fail,token_recall;page_count,numeric_token_mismatch;low_page_sequence_alignment;appearance_layout_disagreement,0.8574772532354894,1.0,0.7558139534883721,0.99609375,1.0,0.6666666666666666,0.6666666666666666,0.8602093645242485
missing_pages,2,remove_last_two_pages,fail,token_recall;page_count,numeric_token_mismatch;low_page_sequence_alignment;appearance_layout_disagreement,0.4372859025032938,1.0,0.27906976744186046,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5812910621623391
page_reorder,1,swap_pages_2_and_3,review,,low_page_sequence_alignment,0.9336993243243243,1.0,1.0,0.5052204752460256,1.0,0.5937915119998384,0.6666666666666666,0.7128895106004518
