sample_id,category,complexity_band,reference_pdf
01_prose_sections_014,01_prose_sections,medium,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_014/reference.pdf
02_lists_formatting_026,02_lists_formatting,medium,data/latex_benchmark_v0/corpus/02_lists_formatting/02_lists_formatting_026/reference.pdf
03_math_inline_display_011,03_math_inline_display,medium,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_011/reference.pdf
04_math_aligned_008,04_math_aligned,medium,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_008/reference.pdf
05_tables_simple_005,05_tables_simple,medium,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf
06_tables_moderate_032,06_tables_moderate,medium,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_032/reference.pdf
07_figures_captions_007,07_figures_captions,medium,data/latex_benchmark_v0/corpus/07_figures_captions/07_figures_captions_007/reference.pdf
08_crossrefs_citations_013,08_crossrefs_citations,medium,data/latex_benchmark_v0/corpus/08_crossrefs_citations/08_crossrefs_citations_013/reference.pdf
09_algorithms_005,09_algorithms,medium,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_005/reference.pdf
10_compact_papers_015,10_compact_papers,high,data/latex_benchmark_v0/corpus/10_compact_papers/10_compact_papers_015/reference.pdf
11_forms_cv_letters_010,11_forms_cv_letters,medium,data/latex_benchmark_v0/corpus/11_forms_cv_letters/11_forms_cv_letters_010/reference.pdf
