sample_id,category,metric_partition,reference_pages,apply_universal,apply_multipage,apply_display_math,apply_inline_math,apply_semantic_table,apply_semantic_figure,apply_list,apply_crossref,apply_algorithm,apply_form,apply_prose,apply_compact,pairs_universal,pairs_multipage,pairs_display_math,pairs_inline_math,pairs_semantic_table,pairs_semantic_figure,pairs_list,pairs_crossref,pairs_algorithm,pairs_form,pairs_prose,pairs_compact,estimated_total_pairs,manual_blind_bundle_pairs
03_math_inline_display_001,03_math_inline_display,metric_validation,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_002,03_math_inline_display,metric_validation,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_003,03_math_inline_display,metric_validation,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_004,03_math_inline_display,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_005,03_math_inline_display,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_006,03_math_inline_display,metric_test,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_007,03_math_inline_display,metric_test,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_008,03_math_inline_display,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_009,03_math_inline_display,metric_validation,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_010,03_math_inline_display,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_011,03_math_inline_display,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_012,03_math_inline_display,metric_validation,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_013,03_math_inline_display,metric_test,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_014,03_math_inline_display,metric_test,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_015,03_math_inline_display,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_016,03_math_inline_display,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_017,03_math_inline_display,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
03_math_inline_display_018,03_math_inline_display,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
04_math_aligned_001,04_math_aligned,metric_test,2,True,True,True,False,False,False,False,False,False,False,False,False,82,8,12,0,0,0,0,0,0,0,0,0,102,5
04_math_aligned_002,04_math_aligned,metric_test,1,True,False,True,True,False,False,False,False,False,False,False,False,82,0,12,6,0,0,0,0,0,0,0,0,100,5
04_math_aligned_003,04_math_aligned,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
04_math_aligned_004,04_math_aligned,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
04_math_aligned_005,04_math_aligned,metric_test,2,True,True,True,True,False,False,False,False,False,False,False,False,82,8,12,6,0,0,0,0,0,0,0,0,108,5
04_math_aligned_006,04_math_aligned,metric_test,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
04_math_aligned_007,04_math_aligned,metric_validation,1,True,False,True,True,False,False,False,False,False,False,False,False,82,0,12,6,0,0,0,0,0,0,0,0,100,5
04_math_aligned_008,04_math_aligned,metric_validation,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
04_math_aligned_009,04_math_aligned,metric_dev,2,True,True,True,False,False,False,False,False,False,False,False,False,82,8,12,0,0,0,0,0,0,0,0,0,102,5
04_math_aligned_010,04_math_aligned,metric_dev,1,True,False,True,False,False,False,False,False,False,False,False,False,82,0,12,0,0,0,0,0,0,0,0,0,94,5
04_math_aligned_011,04_math_aligned,metric_dev,2,True,True,True,False,False,False,False,False,False,False,False,False,82,8,12,0,0,0,0,0,0,0,0,0,102,5
04_math_aligned_012,04_math_aligned,metric_dev,2,True,True,True,False,False,False,False,False,False,False,False,False,82,8,12,0,0,0,0,0,0,0,0,0,102,5
04_math_aligned_013,04_math_aligned,metric_validation,2,True,True,True,False,False,False,False,False,False,False,False,False,82,8,12,0,0,0,0,0,0,0,0,0,102,5
04_math_aligned_014,04_math_aligned,metric_dev,2,True,True,True,False,False,False,False,False,False,False,False,False,82,8,12,0,0,0,0,0,0,0,0,0,102,5
04_math_aligned_015,04_math_aligned,metric_dev,2,True,True,True,False,False,False,False,False,False,False,False,False,82,8,12,0,0,0,0,0,0,0,0,0,102,5
05_tables_simple_001,05_tables_simple,metric_validation,3,True,True,False,True,True,False,False,False,False,False,False,False,82,10,0,6,15,0,0,0,0,0,0,0,113,5
05_tables_simple_002,05_tables_simple,metric_test,2,True,True,False,True,True,False,False,False,False,False,False,False,82,8,0,6,15,0,0,0,0,0,0,0,111,5
05_tables_simple_005,05_tables_simple,metric_dev,2,True,True,False,False,True,False,False,False,False,False,False,False,82,8,0,0,15,0,0,0,0,0,0,0,105,5
05_tables_simple_006,05_tables_simple,metric_dev,3,True,True,False,True,True,False,False,False,False,False,False,False,82,10,0,6,15,0,0,0,0,0,0,0,113,5
05_tables_simple_007,05_tables_simple,metric_test,3,True,True,True,True,True,False,False,False,False,False,False,False,82,10,12,6,15,0,0,0,0,0,0,0,125,5
05_tables_simple_011,05_tables_simple,metric_dev,3,True,True,False,True,True,False,False,False,False,False,False,False,82,10,0,6,15,0,0,0,0,0,0,0,113,5
05_tables_simple_012,05_tables_simple,metric_validation,3,True,True,False,True,True,False,False,False,False,False,False,False,82,10,0,6,15,0,0,0,0,0,0,0,113,5
05_tables_simple_014,05_tables_simple,metric_dev,2,True,True,False,True,True,False,False,False,False,False,False,False,82,8,0,6,15,0,0,0,0,0,0,0,111,5
05_tables_simple_015,05_tables_simple,metric_dev,3,True,True,False,True,True,False,False,False,False,False,False,False,82,10,0,6,15,0,0,0,0,0,0,0,113,5
05_tables_simple_017,05_tables_simple,metric_validation,3,True,True,False,True,True,False,False,False,False,False,False,False,82,10,0,6,15,0,0,0,0,0,0,0,113,5
05_tables_simple_018,05_tables_simple,metric_test,3,True,True,False,True,True,False,False,False,False,False,False,False,82,10,0,6,15,0,0,0,0,0,0,0,113,5
05_tables_simple_020,05_tables_simple,metric_dev,3,True,True,False,False,True,False,False,False,False,False,False,False,82,10,0,0,15,0,0,0,0,0,0,0,107,5
05_tables_simple_021,05_tables_simple,metric_validation,3,True,True,False,True,True,False,False,False,False,False,False,False,82,10,0,6,15,0,0,0,0,0,0,0,113,5
05_tables_simple_023,05_tables_simple,metric_dev,3,True,True,False,True,True,False,False,False,False,False,False,False,82,10,0,6,15,0,0,0,0,0,0,0,113,5
05_tables_simple_024,05_tables_simple,metric_dev,3,True,True,False,True,True,False,False,False,False,False,False,False,82,10,0,6,15,0,0,0,0,0,0,0,113,5
