sample_id,category,family,variant,severity,seed,applicable,status,reason,expected_axis,expected_page,expected_bbox,target_page,target_bbox,localization_applicable,predicted_page,predicted_bbox,components,variant_id,artifact_kind,is_ai_output,source_pdf,candidate_pdf,metric_adapter,axis_content,axis_layout,axis_typography,axis_appearance,axis_structure,axis_pagination
02_lists_formatting_002,02_lists_formatting,list_structure,list_item_occlusion,1,20260715,true,applied,,content+appearance,0,"[0.476975, 0.290966, 0.522847, 0.292819]",0,"[0.476975, 0.290966, 0.522847, 0.292819]",true,0,"[0.47549019607843135, 0.29015151515151516, 0.5245098039215687, 0.29393939393939394]",,c2b2f99c48ade51d,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/02_lists_formatting/02_lists_formatting_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,1.0,1.0,0.9930541995592624,,1.0
02_lists_formatting_002,02_lists_formatting,list_structure,list_item_occlusion,2,20260715,true,applied,,content+appearance,0,"[0.438749, 0.289422, 0.561073, 0.294364]",0,"[0.438749, 0.289422, 0.561073, 0.294364]",true,0,"[0.4372549019607843, 0.28863636363636364, 0.5627450980392157, 0.29545454545454547]",,f08c91dc76e67f78,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/02_lists_formatting/02_lists_formatting_002/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/02_lists_formatting/audit/02_lists_formatting_002__list_item_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,1.0,1.0,0.9688775232602427,,1.0
02_lists_formatting_002,02_lists_formatting,list_structure,list_item_occlusion,3,20260715,true,applied,,content+appearance,0,"[0.366119, 0.286488, 0.633704, 0.297297]",0,"[0.366119, 0.286488, 0.633704, 0.297297]",true,0,"[0.3637254901960784, 0.2772727272727273, 0.6352941176470588, 0.29848484848484846]",,ac44eb55658146df,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/02_lists_formatting/02_lists_formatting_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9487179487179489,0.9999996734684737,0.9487179487179489,0.889188441774856,,1.0
02_lists_formatting_003,02_lists_formatting,list_structure,list_item_occlusion,1,20260715,true,applied,,content+appearance,0,"[0.488603, 0.49823, 0.533169, 0.503164]",0,"[0.488603, 0.49823, 0.533169, 0.503164]",true,0,"[0.48627450980392156, 0.4946969696969697, 0.5392156862745098, 0.5075757575757576]",,36ea2097658217a3,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/02_lists_formatting/02_lists_formatting_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9925373134328358,1.0,0.9925373134328358,0.9994760835030096,,1.0
02_lists_formatting_003,02_lists_formatting,list_structure,list_item_occlusion,2,20260715,true,applied,,content+appearance,0,"[0.451466, 0.494119, 0.570306, 0.507275]",0,"[0.451466, 0.494119, 0.570306, 0.507275]",true,0,"[0.44509803921568625, 0.49318181818181817, 0.5774509803921568, 0.5083333333333333]",,aa9ac9ceb43460c5,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/02_lists_formatting/02_lists_formatting_003/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/02_lists_formatting/audit/02_lists_formatting_003__list_item_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9849624060150376,1.0,0.9849624060150376,0.9857711428189773,,1.0
02_lists_formatting_003,02_lists_formatting,list_structure,list_item_occlusion,3,20260715,true,applied,,content+appearance,0,"[0.380904, 0.486308, 0.640868, 0.515086]",0,"[0.380904, 0.486308, 0.640868, 0.515086]",true,0,"[0.37941176470588234, 0.4772727272727273, 0.6480392156862745, 0.5227272727272727]",,247635decec3821e,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/02_lists_formatting/02_lists_formatting_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9285714285714285,1.0,0.9285714285714285,0.907873717962101,,1.0
02_lists_formatting_006,02_lists_formatting,list_structure,list_item_occlusion,1,20260715,true,applied,,content+appearance,0,"[0.500633, 0.421112, 0.543836, 0.427371]",0,"[0.500633, 0.421112, 0.543836, 0.427371]",true,0,"[0.49901960784313726, 0.4128787878787879, 0.5509803921568628, 0.42803030303030304]",,17b4b50b7b5cd5e5,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/02_lists_formatting/02_lists_formatting_006/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9939024390243902,1.0,0.9939024390243902,0.9941566956801807,,1.0
02_lists_formatting_006,02_lists_formatting,list_structure,list_item_occlusion,2,20260715,true,applied,,content+appearance,0,"[0.464631, 0.415897, 0.579839, 0.432586]",0,"[0.464631, 0.415897, 0.579839, 0.432586]",true,0,"[0.46078431372549017, 0.4121212121212121, 0.5862745098039216, 0.44242424242424244]",,ca9b4ca4aa2eb83e,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/02_lists_formatting/02_lists_formatting_006/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/02_lists_formatting/audit/02_lists_formatting_006__list_item_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9815950920245398,1.0,0.9815950920245398,0.9758336675264473,,1.0
02_lists_formatting_006,02_lists_formatting,list_structure,list_item_occlusion,3,20260715,true,applied,,content+appearance,0,"[0.396226, 0.405987, 0.648243, 0.442496]",0,"[0.396226, 0.405987, 0.648243, 0.442496]",true,0,"[0.39509803921568626, 0.39545454545454545, 0.6588235294117647, 0.4431818181818182]",,0d64bb809270c48f,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/02_lists_formatting/02_lists_formatting_006/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9137380191693291,1.0,0.9137380191693291,0.914075241915583,,1.0
02_lists_formatting_008,02_lists_formatting,list_structure,list_item_occlusion,1,20260715,true,applied,,content+appearance,0,"[0.48178, 0.424817, 0.527127, 0.433929]",0,"[0.48178, 0.424817, 0.527127, 0.433929]",true,0,"[0.4803921568627451, 0.42348484848484846, 0.5343137254901961, 0.4348484848484849]",,be84bdc0292c5dc2,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/02_lists_formatting/02_lists_formatting_008/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.996996996996997,1.0,0.996996996996997,0.9986038103380657,,1.0
