sample_id,category,family,variant,severity,seed,applicable,status,reason,expected_axis,expected_page,expected_bbox,target_page,target_bbox,localization_applicable,predicted_page,predicted_bbox,components,variant_id,artifact_kind,is_ai_output,source_pdf,candidate_pdf,metric_adapter,axis_content,axis_layout,axis_typography,axis_appearance,axis_structure,axis_pagination
03_math_inline_display_001,03_math_inline_display,display_math_structure,display_math_occlude,1,20260715,true,applied,,content+appearance,0,"[0.583032, 0.43503, 0.604494, 0.437313]",0,"[0.583032, 0.43503, 0.604494, 0.437313]",true,0,"[0.5813725490196079, 0.4340909090909091, 0.6078431372549019, 0.4484848484848485]",,4dafd836950d0eb0,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9946524064171123,1.0,0.9946524064171123,0.9973797239255516,,1.0
03_math_inline_display_001,03_math_inline_display,display_math_structure,display_math_occlude,2,20260715,true,applied,,content+appearance,0,"[0.565147, 0.433128, 0.622379, 0.439215]",0,"[0.565147, 0.433128, 0.622379, 0.439215]",true,0,"[0.5637254901960784, 0.4318181818181818, 0.6254901960784314, 0.45]",,37ed2e85a8ca98ea,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/03_math_inline_display/audit/03_math_inline_display_001__display_math_occlude__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9893048128342246,1.0,0.9893048128342246,0.9918172285666673,,1.0
03_math_inline_display_001,03_math_inline_display,display_math_structure,display_math_occlude,3,20260715,true,applied,,content+appearance,0,"[0.531166, 0.429514, 0.65636, 0.442829]",0,"[0.531166, 0.429514, 0.65636, 0.442829]",true,0,"[0.5284313725490196, 0.4287878787878788, 0.657843137254902, 0.45075757575757575]",,35b0fad7b22a2cff,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9865951742627346,1.0,0.9865951742627346,0.9719543101294074,,1.0
03_math_inline_display_002,03_math_inline_display,display_math_structure,display_math_occlude,1,20260715,true,applied,,content+appearance,0,"[0.436789, 0.539003, 0.475906, 0.540855]",0,"[0.436789, 0.539003, 0.475906, 0.540855]",true,0,"[0.4343137254901961, 0.5295454545454545, 0.4803921568627451, 0.543939393939394]",,02c58d6c326176c0,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9952380952380951,1.0,0.9952380952380951,0.9978807009392312,,1.0
03_math_inline_display_002,03_math_inline_display,display_math_structure,display_math_occlude,2,20260715,true,applied,,content+appearance,0,"[0.404192, 0.537459, 0.508503, 0.542398]",0,"[0.404192, 0.537459, 0.508503, 0.542398]",true,0,"[0.40294117647058825, 0.5295454545454545, 0.5127450980392156, 0.5431818181818182]",,0ded30b92c6a685d,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/03_math_inline_display/audit/03_math_inline_display_002__display_math_occlude__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9880668257756563,1.0,0.9880668257756563,0.9934126898796787,,1.0
03_math_inline_display_002,03_math_inline_display,display_math_structure,display_math_occlude,3,20260715,true,applied,,content+appearance,0,"[0.342258, 0.534527, 0.570437, 0.54533]",0,"[0.342258, 0.534527, 0.570437, 0.54533]",true,0,"[0.3431372549019608, 0.5295454545454545, 0.5715686274509804, 0.543939393939394]",,e28856c70a246faf,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.970873786407767,1.0,0.970873786407767,0.9813569253405017,,1.0
03_math_inline_display_003,03_math_inline_display,display_math_structure,display_math_occlude,1,20260715,true,applied,,content+appearance,0,"[0.483462, 0.438113, 0.518526, 0.440809]",0,"[0.483462, 0.438113, 0.518526, 0.440809]",true,0,"[0.4823529411764706, 0.43712121212121213, 0.5127450980392156, 0.43787878787878787]",,d0d6211154142dd3,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,1.0,1.0,0.9997915414893747,,1.0
03_math_inline_display_003,03_math_inline_display,display_math_structure,display_math_occlude,2,20260715,true,applied,,content+appearance,0,"[0.454242, 0.435867, 0.547746, 0.443055]",0,"[0.454242, 0.435867, 0.547746, 0.443055]",true,0,"[0.45294117647058824, 0.43106060606060603, 0.5490196078431373, 0.44393939393939397]",,71f4d73c62d172f2,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/03_math_inline_display/audit/03_math_inline_display_003__display_math_occlude__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9900497512437811,1.0,0.9900497512437811,0.9945902145097438,,1.0
03_math_inline_display_003,03_math_inline_display,display_math_structure,display_math_occlude,3,20260715,true,applied,,content+appearance,0,"[0.398724, 0.431598, 0.603264, 0.447324]",0,"[0.398724, 0.431598, 0.603264, 0.447324]",true,0,"[0.3941176470588235, 0.421969696969697, 0.6049019607843137, 0.4575757575757576]",,a4f7f45f175e1ad0,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9800995024875623,1.0,0.9800995024875623,0.9743028322735634,,1.0
03_math_inline_display_004,03_math_inline_display,display_math_structure,display_math_occlude,1,20260715,true,applied,,content+appearance,0,"[0.510212, 0.333993, 0.542257, 0.336031]",0,"[0.510212, 0.333993, 0.542257, 0.336031]",true,0,"[0.5088235294117647, 0.3287878787878788, 0.546078431372549, 0.3393939393939394]",,a7976327cdf035a2,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9924812030075189,1.0,0.9924812030075189,0.9985263707910057,,1.0
03_math_inline_display_004,03_math_inline_display,display_math_structure,display_math_occlude,2,20260715,true,applied,,content+appearance,0,"[0.483508, 0.332294, 0.568961, 0.33773]",0,"[0.483508, 0.332294, 0.568961, 0.33773]",true,0,"[0.4823529411764706, 0.328030303030303, 0.5705882352941176, 0.3424242424242424]",,73b5e79a72c45486,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/03_math_inline_display/audit/03_math_inline_display_004__display_math_occlude__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9949748743718593,1.0,0.9949748743718593,0.995820396727748,,1.0
03_math_inline_display_004,03_math_inline_display,display_math_structure,display_math_occlude,3,20260715,true,applied,,content+appearance,0,"[0.432771, 0.329067, 0.619699, 0.340957]",0,"[0.432771, 0.329067, 0.619699, 0.340957]",true,0,"[0.43137254901960786, 0.31893939393939397, 0.6284313725490196, 0.3484848484848485]",,43e8147fb539254d,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9822784810126581,1.0,0.9822784810126581,0.9759384850918393,,1.0
03_math_inline_display_005,03_math_inline_display,display_math_structure,display_math_occlude,1,20260715,true,applied,,content+appearance,0,"[0.481093, 0.545708, 0.518939, 0.547805]",0,"[0.481093, 0.545708, 0.518939, 0.547805]",true,0,"[0.47941176470588237, 0.5386363636363637, 0.5235294117647059, 0.553030303030303]",,5596b45141f2127b,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9943181818181819,1.0,0.9943181818181819,0.9986722353960996,,1.0
03_math_inline_display_005,03_math_inline_display,display_math_structure,display_math_occlude,2,20260715,true,applied,,content+appearance,0,"[0.449554, 0.54396, 0.550478, 0.549552]",0,"[0.449554, 0.54396, 0.550478, 0.549552]",true,0,"[0.4549019607843137, 0.5386363636363637, 0.5519607843137255, 0.553030303030303]",,a5305a15e2b140a8,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/03_math_inline_display/audit/03_math_inline_display_005__display_math_occlude__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9886363636363638,1.0,0.9886363636363638,0.9956396041140428,,1.0
03_math_inline_display_005,03_math_inline_display,display_math_structure,display_math_occlude,3,20260715,true,applied,,content+appearance,0,"[0.389631, 0.54064, 0.610401, 0.552873]",0,"[0.389631, 0.54064, 0.610401, 0.552873]",true,0,"[0.38823529411764707, 0.5295454545454545, 0.6127450980392157, 0.5537878787878788]",,8c22bebe8224347b,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_005/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9712643678160918,1.0,0.9712643678160918,0.9740255219879244,,1.0
