sample_id,category,family,variant,severity,seed,applicable,status,reason,expected_axis,expected_page,expected_bbox,target_page,target_bbox,localization_applicable,predicted_page,predicted_bbox,components,variant_id,artifact_kind,is_ai_output,source_pdf,candidate_pdf,metric_adapter,axis_content,axis_layout,axis_typography,axis_appearance,axis_structure,axis_pagination
04_math_aligned_001,04_math_aligned,display_math_structure,display_math_occlude,1,20260715,true,applied,,content+appearance,0,"[0.492045, 0.367879, 0.538801, 0.373913]",0,"[0.492045, 0.367879, 0.538801, 0.373913]",true,0,"[0.49117647058823527, 0.36666666666666664, 0.5401960784313725, 0.3795454545454545]",,70bb4ee704409662,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9959677419354839,1.0,0.9959677419354839,0.9978559284316398,,1.0
04_math_aligned_001,04_math_aligned,display_math_structure,display_math_occlude,2,20260715,true,applied,,content+appearance,0,"[0.453081, 0.362851, 0.577765, 0.378941]",0,"[0.453081, 0.362851, 0.577765, 0.378941]",true,0,"[0.4519607843137255, 0.3553030303030303, 0.5794117647058824, 0.38636363636363635]",,01b6ea172426bcfc,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_001/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/04_math_aligned/audit/04_math_aligned_001__display_math_occlude__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9796747967479675,1.0,0.9796747967479675,0.9914434621808732,,1.0
04_math_aligned_001,04_math_aligned,display_math_structure,display_math_occlude,3,20260715,true,applied,,content+appearance,0,"[0.37905, 0.353297, 0.651796, 0.388495]",0,"[0.37905, 0.353297, 0.651796, 0.388495]",true,0,"[0.37745098039215685, 0.3522727272727273, 0.6529411764705882, 0.3893939393939394]",,90f9ff764be915ad,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9669421487603306,1.0,0.9669421487603306,0.9579052005826543,,1.0
04_math_aligned_002,04_math_aligned,display_math_structure,display_math_occlude,1,20260715,true,applied,,content+appearance,0,"[0.466964, 0.599134, 0.503634, 0.601928]",0,"[0.466964, 0.599134, 0.503634, 0.601928]",true,0,"[0.46176470588235297, 0.5878787878787879, 0.5049019607843137, 0.603030303030303]",,fe294e6d15b7deb2,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9959839357429718,1.0,0.9959839357429718,0.9976531881178501,,1.0
04_math_aligned_002,04_math_aligned,display_math_structure,display_math_occlude,2,20260715,true,applied,,content+appearance,0,"[0.436406, 0.596805, 0.534192, 0.604256]",0,"[0.436406, 0.596805, 0.534192, 0.604256]",true,0,"[0.4343137254901961, 0.5878787878787879, 0.5352941176470588, 0.6053030303030303]",,8fe677889adb83b6,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_002/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/04_math_aligned/audit/04_math_aligned_002__display_math_occlude__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9919678714859438,1.0,0.9919678714859438,0.991413936861098,,1.0
04_math_aligned_002,04_math_aligned,display_math_structure,display_math_occlude,3,20260715,true,applied,,content+appearance,0,"[0.378346, 0.592382, 0.592253, 0.60868]",0,"[0.378346, 0.592382, 0.592253, 0.60868]",true,0,"[0.3715686274509804, 0.5871212121212122, 0.5950980392156863, 0.6196969696969697]",,5adbb5ff8b20faed,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.971311475409836,1.0,0.971311475409836,0.9631218825443845,,1.0
04_math_aligned_003,04_math_aligned,display_math_structure,display_math_occlude,1,20260715,true,applied,,content+appearance,0,"[0.490476, 0.700275, 0.507962, 0.705174]",0,"[0.490476, 0.700275, 0.507962, 0.705174]",true,0,"[0.4892156862745098, 0.693939393939394, 0.5137254901960784, 0.706060606060606]",,f8d91e671b93c2f4,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9951219512195122,1.0,0.9951219512195122,0.9981124085502395,,1.0
04_math_aligned_003,04_math_aligned,display_math_structure,display_math_occlude,2,20260715,true,applied,,content+appearance,0,"[0.475905, 0.696193, 0.522533, 0.709257]",0,"[0.475905, 0.696193, 0.522533, 0.709257]",true,0,"[0.4696078431372549, 0.693939393939394, 0.5294117647058824, 0.7098484848484848]",,7f1e657c26bb0f4a,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_003/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/04_math_aligned/audit/04_math_aligned_003__display_math_occlude__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9926650366748165,1.0,0.9926650366748165,0.9935196321684998,,1.0
04_math_aligned_003,04_math_aligned,display_math_structure,display_math_occlude,3,20260715,true,applied,,content+appearance,0,"[0.44822, 0.688436, 0.550218, 0.717014]",0,"[0.44822, 0.688436, 0.550218, 0.717014]",true,0,"[0.4362745098039216, 0.6833333333333333, 0.5549019607843138, 0.7242424242424242]",,4ca1916dbd8579a9,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9653465346534654,0.9999949163663999,0.9653465346534654,0.9711493178346143,,1.0
04_math_aligned_004,04_math_aligned,display_math_structure,display_math_occlude,1,20260715,true,applied,,content+appearance,0,"[0.48782, 0.493225, 0.512183, 0.502409]",0,"[0.48782, 0.493225, 0.512183, 0.502409]",true,0,"[0.48627450980392156, 0.48787878787878786, 0.5137254901960784, 0.5053030303030303]",,e6c5ae94a1d96d1c,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9956896551724138,1.0,0.9956896551724138,0.9986078510698189,,1.0
04_math_aligned_004,04_math_aligned,display_math_structure,display_math_occlude,2,20260715,true,applied,,content+appearance,0,"[0.467516, 0.485571, 0.532486, 0.510063]",0,"[0.467516, 0.485571, 0.532486, 0.510063]",true,0,"[0.4666666666666667, 0.48484848484848486, 0.5333333333333333, 0.5113636363636364]",,79ed38c682fdbd67,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_004/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/04_math_aligned/audit/04_math_aligned_004__display_math_occlude__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9935205183585313,1.0,0.9935205183585313,0.9795568329315779,,1.0
04_math_aligned_004,04_math_aligned,display_math_structure,display_math_occlude,3,20260715,true,applied,,content+appearance,0,"[0.428941, 0.471029, 0.571062, 0.524605]",0,"[0.428941, 0.471029, 0.571062, 0.524605]",true,0,"[0.42745098039215684, 0.46515151515151515, 0.5725490196078431, 0.5287878787878788]",,2cc4592b2b14b254,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9714285714285715,0.9999888103124265,0.9714285714285715,0.9331871914000052,,1.0
04_math_aligned_005,04_math_aligned,display_math_structure,display_math_occlude,1,20260715,true,applied,,content+appearance,1,"[0.375683, 0.173383, 0.395304, 0.175411]",1,"[0.375683, 0.173383, 0.395304, 0.175411]",true,1,"[0.37450980392156863, 0.16666666666666666, 0.4, 0.18181818181818182]",,2a011217f137c822,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_005/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.994059405940594,1.0,0.994059405940594,0.9976570796490336,,1.0
