sample_id,category,family,variant,severity,seed,applicable,status,reason,expected_axis,expected_page,expected_bbox,target_page,target_bbox,localization_applicable,predicted_page,predicted_bbox,components,variant_id,artifact_kind,is_ai_output,source_pdf,candidate_pdf,metric_adapter,axis_content,axis_layout,axis_typography,axis_appearance,axis_structure,axis_pagination
06_tables_moderate_002,06_tables_moderate,semantic_table_structure,table_column_occlusion,1,20260715,true,applied,,content+appearance,1,"[0.474425, 0.153105, 0.518495, 0.999682]",1,"[0.474425, 0.153105, 0.518495, 0.999682]",true,1,"[0.47352941176470587, 0.15227272727272728, 0.5196078431372549, 1.0]",,8dfaff4e699f876d,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9985358711566619,1.0,0.9985358711566619,0.9225312774314823,,1.0
06_tables_moderate_002,06_tables_moderate,semantic_table_structure,table_column_occlusion,2,20260715,true,applied,,content+appearance,1,"[0.4377, 0.153105, 0.55522, 0.999682]",1,"[0.4377, 0.153105, 0.55522, 0.999682]",true,1,"[0.4362745098039216, 0.15227272727272728, 0.5696078431372549, 1.0]",,e7e165b24e8d3594,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_002/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/06_tables_moderate/audit/06_tables_moderate_002__table_column_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.8751835535976504,1.0,0.8751835535976504,0.8679426264408395,,1.0
06_tables_moderate_002,06_tables_moderate,semantic_table_structure,table_column_occlusion,3,20260715,true,applied,,content+appearance,1,"[0.367923, 0.153105, 0.624997, 0.999682]",1,"[0.367923, 0.153105, 0.624997, 0.999682]",true,1,"[0.35980392156862745, 0.15227272727272728, 0.6421568627450981, 1.0]",,cca8d49f80340839,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.8333333333333333,1.0,0.8333333333333333,0.8345504457341004,,1.0
06_tables_moderate_007,06_tables_moderate,semantic_table_structure,table_column_occlusion,1,20260715,true,applied,,content+appearance,1,"[0.471419, 0.261888, 0.516581, 0.843225]",1,"[0.471419, 0.261888, 0.516581, 0.843225]",true,1,"[0.4696078431372549, 0.2545454545454545, 0.5323529411764706, 0.8409090909090909]",,f46ef365091c3579,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_007/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9463087248322147,0.9999990091848556,0.9463087248322147,0.9667275025414684,,1.0
06_tables_moderate_007,06_tables_moderate,semantic_table_structure,table_column_occlusion,2,20260715,true,applied,,content+appearance,1,"[0.433784, 0.261888, 0.554217, 0.843225]",1,"[0.433784, 0.261888, 0.554217, 0.843225]",true,1,"[0.4323529411764706, 0.2545454545454545, 0.5686274509803921, 0.8409090909090909]",,0e0e86d66c115d56,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_007/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/06_tables_moderate/audit/06_tables_moderate_007__table_column_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9724137931034482,0.9999980183687323,0.9724137931034482,0.9313735980271067,,1.0
06_tables_moderate_007,06_tables_moderate,semantic_table_structure,table_column_occlusion,3,20260715,true,applied,,content+appearance,1,"[0.362277, 0.261888, 0.625724, 0.843225]",1,"[0.362277, 0.261888, 0.625724, 0.843225]",true,1,"[0.3607843137254902, 0.2545454545454545, 0.6274509803921569, 0.8409090909090909]",,aedb967328d2040f,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_007/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.8865248226950355,0.9999980183687323,0.8865248226950355,0.8863487168691485,,1.0
06_tables_moderate_008,06_tables_moderate,semantic_table_structure,table_column_occlusion,1,20260715,true,applied,,content+appearance,1,"[0.473873, 0.12709, 0.519324, 0.997407]",1,"[0.473873, 0.12709, 0.519324, 0.997407]",true,1,"[0.4598039215686274, 0.12575757575757576, 0.5313725490196078, 0.9954545454545455]",,10412ab162107feb,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_008/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9802985074626865,1.0,0.9802985074626865,0.9728573666245389,,1.0
06_tables_moderate_008,06_tables_moderate,semantic_table_structure,table_column_occlusion,2,20260715,true,applied,,content+appearance,1,"[0.435996, 0.12709, 0.557201, 0.997407]",1,"[0.435996, 0.12709, 0.557201, 0.997407]",true,1,"[0.4235294117647059, 0.12575757575757576, 0.5656862745098039, 0.9954545454545455]",,9d19c6a80362b8de,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_008/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/06_tables_moderate/audit/06_tables_moderate_008__table_column_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9506699147381242,1.0,0.9506699147381242,0.9554940051208775,,1.0
06_tables_moderate_008,06_tables_moderate,semantic_table_structure,table_column_occlusion,3,20260715,true,applied,,content+appearance,1,"[0.364031, 0.12709, 0.629166, 0.997407]",1,"[0.364031, 0.12709, 0.629166, 0.997407]",true,1,"[0.35294117647058826, 0.12575757575757576, 0.6431372549019608, 0.9954545454545455]",,5f80ab4323d7f354,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_008/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9019108280254776,1.0,0.9019108280254776,0.9418070384048546,,1.0
06_tables_moderate_010,06_tables_moderate,semantic_table_structure,table_column_occlusion,1,20260715,true,applied,,content+appearance,0,"[0.475355, 0.34883, 0.52102, 0.812496]",0,"[0.475355, 0.34883, 0.52102, 0.812496]",true,0,"[0.4715686274509804, 0.35075757575757577, 0.5284313725490196, 0.8098484848484848]",,f6b59fde51e58737,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_010/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.950419527078566,0.9999964464154626,0.950419527078566,0.9703208626611619,,1.0
