sample_id,category,family,variant,severity,seed,applicable,status,reason,expected_axis,expected_page,expected_bbox,target_page,target_bbox,localization_applicable,predicted_page,predicted_bbox,components,variant_id,artifact_kind,is_ai_output,source_pdf,candidate_pdf,metric_adapter,axis_content,axis_layout,axis_typography,axis_appearance,axis_structure,axis_pagination
08_crossrefs_citations_001,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,1,20260715,true,applied,,content,0,"[0.543227, 0.395429, 0.613851, 0.409203]",0,"[0.543227, 0.395429, 0.613851, 0.409203]",true,0,"[0.5431372549019607, 0.39621212121212124, 0.6137254901960785, 0.4090909090909091]",,882b2ac3c3e2f988,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/08_crossrefs_citations/08_crossrefs_citations_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9966329966329966,1.0,0.9966329966329966,0.9949018878946391,,1.0
08_crossrefs_citations_001,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,2,20260715,true,applied,,content,0,"[0.43476, 0.395429, 0.613851, 0.409203]",0,"[0.43476, 0.395429, 0.613851, 0.409203]",true,0,"[0.43529411764705883, 0.39621212121212124, 0.6137254901960785, 0.4090909090909091]",,2cb3a5df7e2f303f,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/08_crossrefs_citations/08_crossrefs_citations_001/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/08_crossrefs_citations/audit/08_crossrefs_citations_001__crossref_token_corruption__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9932432432432432,1.0,0.9932432432432432,0.9911247334754797,,1.0
08_crossrefs_citations_001,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,3,20260715,true,applied,,content,0,"[0.43476, 0.395429, 0.613851, 0.409203]",0,"[0.43476, 0.395429, 0.613851, 0.409203]",true,0,"[0.43529411764705883, 0.39621212121212124, 0.6137254901960785, 0.4090909090909091]",,ce91c06894e09c0d,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/08_crossrefs_citations/08_crossrefs_citations_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9932432432432432,1.0,0.9932432432432432,0.9911247334754797,,1.0
08_crossrefs_citations_002,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,1,20260715,true,applied,,content,0,"[0.43476, 0.380334, 0.490856, 0.394108]",0,"[0.43476, 0.380334, 0.490856, 0.394108]",true,0,"[0.43529411764705883, 0.38106060606060604, 0.49117647058823527, 0.39166666666666666]",,5c4dd24f229a6f9c,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/08_crossrefs_citations/08_crossrefs_citations_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9963369963369962,1.0,0.9963369963369962,0.995805319212233,,1.0
08_crossrefs_citations_002,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,2,20260715,true,applied,,content,0,"[0.43476, 0.380334, 0.613851, 0.394108]",0,"[0.43476, 0.380334, 0.613851, 0.394108]",true,0,"[0.43529411764705883, 0.38106060606060604, 0.6137254901960785, 0.3939393939393939]",,92ab74a1c30c197c,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/08_crossrefs_citations/08_crossrefs_citations_002/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/08_crossrefs_citations/audit/08_crossrefs_citations_002__crossref_token_corruption__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9926470588235294,1.0,0.9926470588235294,0.9900365029022798,,1.0
08_crossrefs_citations_002,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,3,20260715,true,applied,,content,0,"[0.43476, 0.380334, 0.613851, 0.394108]",0,"[0.43476, 0.380334, 0.613851, 0.394108]",true,0,"[0.43529411764705883, 0.38106060606060604, 0.6137254901960785, 0.3939393939393939]",,73c84cd365492ce7,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/08_crossrefs_citations/08_crossrefs_citations_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9926470588235294,1.0,0.9926470588235294,0.9900365029022798,,1.0
08_crossrefs_citations_003,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,1,20260715,true,applied,,content,0,"[0.43476, 0.475907, 0.490856, 0.489682]",0,"[0.43476, 0.475907, 0.490856, 0.489682]",true,0,"[0.43529411764705883, 0.4765151515151515, 0.49117647058823527, 0.4871212121212121]",,4545793277fb9dc6,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/08_crossrefs_citations/08_crossrefs_citations_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9967637540453074,0.9999989043653412,0.9967637540453074,0.996332422941865,,1.0
08_crossrefs_citations_003,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,2,20260715,true,applied,,content,0,"[0.43476, 0.475907, 0.613851, 0.489682]",0,"[0.43476, 0.475907, 0.613851, 0.489682]",true,0,"[0.43529411764705883, 0.4765151515151515, 0.6137254901960785, 0.4893939393939394]",,957591b5627d9914,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/08_crossrefs_citations/08_crossrefs_citations_003/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/08_crossrefs_citations/audit/08_crossrefs_citations_003__crossref_token_corruption__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9935064935064934,0.9999989022848396,0.9935064935064934,0.9912948004078113,,1.0
08_crossrefs_citations_003,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,3,20260715,true,applied,,content,0,"[0.43476, 0.475907, 0.613851, 0.489682]",0,"[0.43476, 0.475907, 0.613851, 0.489682]",true,0,"[0.43529411764705883, 0.4765151515151515, 0.6137254901960785, 0.4893939393939394]",,4f24348f00e0f3a8,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/08_crossrefs_citations/08_crossrefs_citations_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9935064935064934,0.9999989022848396,0.9935064935064934,0.9912948004078113,,1.0
08_crossrefs_citations_004,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,1,20260715,true,applied,,content,0,"[0.43476, 0.350145, 0.490856, 0.363919]",0,"[0.43476, 0.350145, 0.490856, 0.363919]",true,0,"[0.43529411764705883, 0.35075757575757577, 0.49117647058823527, 0.3613636363636364]",,79e6edb4b374d052,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/08_crossrefs_citations/08_crossrefs_citations_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9953051643192489,1.0,0.9953051643192489,0.9950538464236854,,1.0
