sample_id,category,family,variant,severity,seed,applicable,status,reason,expected_axis,expected_page,expected_bbox,target_page,target_bbox,localization_applicable,predicted_page,predicted_bbox,components,variant_id,artifact_kind,is_ai_output,source_pdf,candidate_pdf,metric_adapter,axis_content,axis_layout,axis_typography,axis_appearance,axis_structure,axis_pagination
09_algorithms_001,09_algorithms,algorithm_structure,algorithm_rule_occlusion,1,20260715,true,applied,,appearance,1,"[0.135371, 0.304308, 0.882328, 0.306833]",1,"[0.135371, 0.304308, 0.882328, 0.306833]",true,1,"[0.13431372549019607, 0.29545454545454547, 0.8833333333333333, 0.3106060606060606]",,6a3d96ae88a518c7,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9626168224299065,0.9999545230955231,0.730591912593911,0.9841113732052433,,1.0
09_algorithms_001,09_algorithms,algorithm_structure,algorithm_rule_occlusion,2,20260715,true,applied,,appearance,1,"[0.135371, 0.302639, 0.882328, 0.308503]",1,"[0.135371, 0.302639, 0.882328, 0.308503]",true,1,"[0.13431372549019607, 0.29545454545454547, 0.8833333333333333, 0.3090909090909091]",,b6991d33ac0dc65d,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_001/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/09_algorithms/audit/09_algorithms_001__algorithm_rule_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9626168224299065,0.9999545230955231,0.730591912593911,0.976544379455127,,1.0
09_algorithms_001,09_algorithms,algorithm_structure,algorithm_rule_occlusion,3,20260715,true,applied,,appearance,1,"[0.135371, 0.299707, 0.882328, 0.311435]",1,"[0.135371, 0.299707, 0.882328, 0.311435]",true,1,"[0.13431372549019607, 0.2909090909090909, 0.8833333333333333, 0.31212121212121213]",,576e722c403a8ccd,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9686520376175548,0.9999693683759069,0.730591912593911,0.9584941063909853,,1.0
09_algorithms_003,09_algorithms,algorithm_structure,algorithm_rule_occlusion,1,20260715,true,applied,,appearance,1,"[0.135371, 0.459119, 0.882271, 0.465122]",1,"[0.135371, 0.459119, 0.882271, 0.465122]",true,1,"[0.13431372549019607, 0.4583333333333333, 0.8833333333333333, 0.4712121212121212]",,964ab247d70b42da,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9806763285024155,0.9999956013750543,0.9806763285024155,0.9560018665772276,,1.0
09_algorithms_003,09_algorithms,algorithm_structure,algorithm_rule_occlusion,2,20260715,true,applied,,appearance,1,"[0.135371, 0.454617, 0.882271, 0.469623]",1,"[0.135371, 0.454617, 0.882271, 0.469623]",true,1,"[0.13431372549019607, 0.44393939393939397, 0.8833333333333333, 0.475]",,6c7897738b2647ef,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_003/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/09_algorithms/audit/09_algorithms_003__algorithm_rule_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.975609756097561,0.9999956013745706,0.975609756097561,0.9166424967980902,,1.0
09_algorithms_003,09_algorithms,algorithm_structure,algorithm_rule_occlusion,3,20260715,true,applied,,appearance,1,"[0.135371, 0.447114, 0.882271, 0.477126]",1,"[0.135371, 0.447114, 0.882271, 0.477126]",true,1,"[0.13431372549019607, 0.44393939393939397, 0.8833333333333333, 0.4856060606060606]",,57c57bad91e2571f,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9682151589242053,0.9999858067772803,0.9682151589242053,0.8636624270248842,,1.0
09_algorithms_004,09_algorithms,algorithm_structure,algorithm_rule_occlusion,1,20260715,true,applied,,appearance,1,"[0.135371, 0.458867, 0.882271, 0.46487]",1,"[0.135371, 0.458867, 0.882271, 0.46487]",true,1,"[0.13431372549019607, 0.4575757575757576, 0.8833333333333333, 0.4712121212121212]",,a562cd03f8820bfe,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9802955665024631,0.9999869719861458,0.9802955665024631,0.9482822868296819,,1.0
09_algorithms_004,09_algorithms,algorithm_structure,algorithm_rule_occlusion,2,20260715,true,applied,,appearance,1,"[0.135371, 0.454365, 0.882271, 0.469371]",1,"[0.135371, 0.454365, 0.882271, 0.469371]",true,1,"[0.13431372549019607, 0.4431818181818182, 0.8833333333333333, 0.475]",,3ecf0415ae41f4cb,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_004/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/09_algorithms/audit/09_algorithms_004__algorithm_rule_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9751243781094527,0.9999866091850801,0.9751243781094527,0.90769213913438,,1.0
09_algorithms_004,09_algorithms,algorithm_structure,algorithm_rule_occlusion,3,20260715,true,applied,,appearance,1,"[0.135371, 0.446862, 0.882271, 0.476875]",1,"[0.135371, 0.446862, 0.882271, 0.476875]",true,1,"[0.13431372549019607, 0.4431818181818182, 0.8833333333333333, 0.4856060606060606]",,2470d3206eaf8321,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9675810473815462,0.9999821080660475,0.9675810473815462,0.8558615933508293,,1.0
09_algorithms_005,09_algorithms,algorithm_structure,algorithm_rule_occlusion,1,20260715,true,applied,,appearance,0,"[0.127208, 0.480786, 0.882334, 0.483311]",0,"[0.127208, 0.480786, 0.882334, 0.483311]",true,0,"[0.12549019607843137, 0.46893939393939393, 0.8833333333333333, 0.48409090909090907]",,2671ebe911f18c81,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_005/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9632829373650108,0.9999868486043246,0.9632829373650108,0.953098700972688,,1.0
