sample_id,category,family,variant,severity,seed,applicable,status,reason,expected_axis,expected_page,expected_bbox,target_page,target_bbox,localization_applicable,predicted_page,predicted_bbox,components,variant_id,artifact_kind,is_ai_output,source_pdf,candidate_pdf,metric_adapter,axis_content,axis_layout,axis_typography,axis_appearance,axis_structure,axis_pagination
10_compact_papers_001,10_compact_papers,compact_paper_flow,compact_block_displacement,1,20260715,true,applied,,layout,0,"[0.117647, 0.560625, 0.887077, 0.677044]",0,"[0.117647, 0.560625, 0.887077, 0.677044]",true,0,"[0.11764705882352941, 0.5613636363636364, 0.8872549019607843, 0.675]",,7efbf291ed99fe6a,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/10_compact_papers/10_compact_papers_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,0.7370664481826791,0.9999984587093625,0.9620694839771722,,1.0
10_compact_papers_001,10_compact_papers,compact_paper_flow,compact_block_displacement,2,20260715,true,applied,,layout,0,"[0.117647, 0.560625, 0.898515, 0.677044]",0,"[0.117647, 0.560625, 0.898515, 0.677044]",true,0,"[0.11764705882352941, 0.5613636363636364, 0.8990196078431373, 0.675]",,5b5f234663a6fa10,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/10_compact_papers/10_compact_papers_001/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/10_compact_papers/audit/10_compact_papers_001__compact_block_displacement__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,0.32929801995128594,0.9999984587093625,0.9528056907569721,,1.0
10_compact_papers_001,10_compact_papers,compact_paper_flow,compact_block_displacement,3,20260715,true,applied,,layout,0,"[0.117647, 0.560625, 0.921391, 0.677044]",0,"[0.117647, 0.560625, 0.921391, 0.677044]",true,0,"[0.11764705882352941, 0.5613636363636364, 0.9215686274509803, 0.675]",,2446fc5cff0e10fe,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/10_compact_papers/10_compact_papers_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,0.0,0.9999984587093625,0.9461923676342522,,1.0
10_compact_papers_002,10_compact_papers,compact_paper_flow,compact_block_displacement,1,20260715,true,applied,,layout,0,"[0.117647, 0.463329, 0.887041, 0.613963]",0,"[0.117647, 0.463329, 0.887041, 0.613963]",true,0,"[0.11764705882352941, 0.4643939393939394, 0.8872549019607843, 0.6143939393939394]",,58237d834c3237d3,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/10_compact_papers/10_compact_papers_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,0.698167559494196,0.9999969174211029,0.9780957590996666,,1.0
10_compact_papers_002,10_compact_papers,compact_paper_flow,compact_block_displacement,2,20260715,true,applied,,layout,0,"[0.117647, 0.463329, 0.898479, 0.613963]",0,"[0.117647, 0.463329, 0.898479, 0.613963]",true,0,"[0.11764705882352941, 0.4643939393939394, 0.8990196078431373, 0.6143939393939394]",,89e06e85097058f0,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/10_compact_papers/10_compact_papers_002/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/10_compact_papers/audit/10_compact_papers_002__compact_block_displacement__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,0.2559132909914487,0.9999969174211029,0.9708864034665127,,1.0
10_compact_papers_002,10_compact_papers,compact_paper_flow,compact_block_displacement,3,20260715,true,applied,,layout,0,"[0.117647, 0.463329, 0.921355, 0.613963]",0,"[0.117647, 0.463329, 0.921355, 0.613963]",true,0,"[0.11764705882352941, 0.4643939393939394, 0.9215686274509803, 0.6143939393939394]",,53bae5bee0b19854,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/10_compact_papers/10_compact_papers_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,0.0,0.9999969174211029,0.9674885874516316,,1.0
10_compact_papers_004,10_compact_papers,compact_paper_flow,compact_block_displacement,1,20260715,true,applied,,layout,0,"[0.117647, 0.69629, 0.887202, 0.795602]",0,"[0.117647, 0.69629, 0.887202, 0.795602]",true,0,"[0.11764705882352941, 0.6962121212121212, 0.8872549019607843, 0.7962121212121213]",,69369d7085abf4b2,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/10_compact_papers/10_compact_papers_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,0.47448015515907654,1.0,0.9479660389905092,,1.0
10_compact_papers_004,10_compact_papers,compact_paper_flow,compact_block_displacement,2,20260715,true,applied,,layout,0,"[0.117647, 0.69629, 0.89864, 0.795602]",0,"[0.117647, 0.69629, 0.89864, 0.795602]",true,0,"[0.11764705882352941, 0.6962121212121212, 0.8990196078431373, 0.7962121212121213]",,b84f26ca0fb47adb,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/10_compact_papers/10_compact_papers_004/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/10_compact_papers/audit/10_compact_papers_004__compact_block_displacement__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,0.0,1.0,0.9358353252357848,,1.0
10_compact_papers_004,10_compact_papers,compact_paper_flow,compact_block_displacement,3,20260715,true,applied,,layout,0,"[0.117647, 0.69629, 0.921516, 0.795602]",0,"[0.117647, 0.69629, 0.921516, 0.795602]",true,0,"[0.11764705882352941, 0.6962121212121212, 0.9215686274509803, 0.7962121212121213]",,0c1115731cc2e539,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/10_compact_papers/10_compact_papers_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,0.0,1.0,0.9286719026427397,,1.0
10_compact_papers_005,10_compact_papers,compact_paper_flow,compact_block_displacement,1,20260715,true,applied,,layout,0,"[0.117647, 0.634606, 0.887113, 0.78524]",0,"[0.117647, 0.634606, 0.887113, 0.78524]",true,0,"[0.11764705882352941, 0.6356060606060606, 0.8872549019607843, 0.7856060606060606]",,ebf3ec4dc913fabb,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/10_compact_papers/10_compact_papers_005/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,0.668923326131781,1.0,0.97768419736527,,1.0
