sample_id,category,family,variant,severity,seed,applicable,status,reason,expected_axis,expected_page,expected_bbox,target_page,target_bbox,localization_applicable,predicted_page,predicted_bbox,components,variant_id,artifact_kind,is_ai_output,source_pdf,candidate_pdf,metric_adapter,axis_content,axis_layout,axis_typography,axis_appearance,axis_structure,axis_pagination
11_forms_cv_letters_001,11_forms_cv_letters,form_geometry,form_field_occlusion,1,20260715,true,applied,,appearance,0,"[0.690192, 0.726236, 0.719874, 0.727776]",0,"[0.690192, 0.726236, 0.719874, 0.727776]",true,0,"[0.6878147029204431, 0.7250712250712251, 0.7200402819738168, 0.7279202279202279]",,95605a2f6f8ffbd3,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/11_forms_cv_letters/11_forms_cv_letters_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,1.0,1.0,0.9996959114342051,,1.0
11_forms_cv_letters_001,11_forms_cv_letters,form_geometry,form_field_occlusion,2,20260715,true,applied,,appearance,0,"[0.665457, 0.724952, 0.744608, 0.72906]",0,"[0.665457, 0.724952, 0.744608, 0.72906]",true,0,"[0.6636455186304129, 0.7236467236467237, 0.7452165156092648, 0.7293447293447294]",,f40fa8625632d69d,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/11_forms_cv_letters/11_forms_cv_letters_001/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/11_forms_cv_letters/audit/11_forms_cv_letters_001__form_field_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,1.0,1.0,0.9986870586565416,,1.0
11_forms_cv_letters_001,11_forms_cv_letters,form_geometry,form_field_occlusion,3,20260715,true,applied,,appearance,0,"[0.618461, 0.722512, 0.791605, 0.7315]",0,"[0.618461, 0.722512, 0.791605, 0.7315]",true,0,"[0.6153071500503524, 0.7136752136752137, 0.7955689828801611, 0.7321937321937322]",,77a9846700d16463,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/11_forms_cv_letters/11_forms_cv_letters_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9962377727614748,1.0,0.9962377727614748,0.9944921943292059,,1.0
11_forms_cv_letters_002,11_forms_cv_letters,form_geometry,form_field_occlusion,1,20260715,true,applied,,appearance,0,"[0.690192, 0.726236, 0.719874, 0.727776]",0,"[0.690192, 0.726236, 0.719874, 0.727776]",true,0,"[0.6878147029204431, 0.7250712250712251, 0.7200402819738168, 0.7279202279202279]",,9460f6158ecbb3be,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/11_forms_cv_letters/11_forms_cv_letters_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,1.0,1.0,0.999504912199273,,1.0
11_forms_cv_letters_002,11_forms_cv_letters,form_geometry,form_field_occlusion,2,20260715,true,applied,,appearance,0,"[0.665457, 0.724952, 0.744608, 0.72906]",0,"[0.665457, 0.724952, 0.744608, 0.72906]",true,0,"[0.6636455186304129, 0.7236467236467237, 0.7452165156092648, 0.7293447293447294]",,d73bc337dd44f3d0,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/11_forms_cv_letters/11_forms_cv_letters_002/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/11_forms_cv_letters/audit/11_forms_cv_letters_002__form_field_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,1.0,1.0,0.997863165595041,,1.0
11_forms_cv_letters_002,11_forms_cv_letters,form_geometry,form_field_occlusion,3,20260715,true,applied,,appearance,0,"[0.618461, 0.722512, 0.791605, 0.7315]",0,"[0.618461, 0.722512, 0.791605, 0.7315]",true,0,"[0.6153071500503524, 0.7136752136752137, 0.7955689828801611, 0.7321937321937322]",,55791b8f5db75719,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/11_forms_cv_letters/11_forms_cv_letters_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9945593035908596,1.0,0.9945593035908596,0.9910426823249788,,1.0
11_forms_cv_letters_003,11_forms_cv_letters,form_geometry,form_field_occlusion,1,20260715,true,applied,,appearance,0,"[0.6564, 0.414327, 0.681152, 0.415346]",0,"[0.6564, 0.414327, 0.681152, 0.415346]",true,0,"[0.6545820745216515, 0.4074074074074074, 0.6868076535750252, 0.4180911680911681]",,341f9b356ab14de9,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/11_forms_cv_letters/11_forms_cv_letters_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9950248756218906,1.0,0.9950248756218906,0.9985751459078659,,1.0
11_forms_cv_letters_003,11_forms_cv_letters,form_geometry,form_field_occlusion,2,20260715,true,applied,,appearance,0,"[0.635774, 0.413478, 0.701778, 0.416195]",0,"[0.635774, 0.413478, 0.701778, 0.416195]",true,0,"[0.6263846928499497, 0.4074074074074074, 0.702920443101712, 0.41737891737891736]",,7bc00056aaa320fc,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/11_forms_cv_letters/11_forms_cv_letters_003/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/11_forms_cv_letters/audit/11_forms_cv_letters_003__form_field_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9751243781094527,1.0,0.9751243781094527,0.9969050961677031,,1.0
11_forms_cv_letters_003,11_forms_cv_letters,form_geometry,form_field_occlusion,3,20260715,true,applied,,appearance,0,"[0.596585, 0.411865, 0.740967, 0.417808]",0,"[0.596585, 0.411865, 0.740967, 0.417808]",true,0,"[0.595166163141994, 0.4074074074074074, 0.7482376636455186, 0.4188034188034188]",,7140b2dfb896774b,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/11_forms_cv_letters/11_forms_cv_letters_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.98,1.0,0.98,0.9943767766075644,,1.0
11_forms_cv_letters_004,11_forms_cv_letters,form_geometry,form_field_occlusion,1,20260715,true,applied,,appearance,0,"[0.6564, 0.414327, 0.681152, 0.415346]",0,"[0.6564, 0.414327, 0.681152, 0.415346]",true,0,"[0.6545820745216515, 0.4074074074074074, 0.6868076535750252, 0.4180911680911681]",,e37a7bbec86dc828,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/11_forms_cv_letters/11_forms_cv_letters_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9914529914529915,1.0,0.9914529914529915,0.9973391959492366,,1.0
