sample_id,category,family,variant,severity,seed,applicable,status,reason,expected_axis,expected_page,expected_bbox,target_page,target_bbox,localization_applicable,predicted_page,predicted_bbox,components,variant_id,artifact_kind,is_ai_output,source_pdf,candidate_pdf,metric_adapter,axis_content,axis_layout,axis_typography,axis_appearance,axis_structure,axis_pagination
01_prose_sections_001,01_prose_sections,prose_hierarchy,paragraph_occlusion,1,20260715,true,applied,,content+appearance,0,"[0.476959, 0.497647, 0.522828, 0.501553]",0,"[0.476959, 0.497647, 0.522828, 0.501553]",true,0,"[0.47549019607843135, 0.49696969696969695, 0.5245098039215687, 0.5022727272727273]",,7f7369f01a8b584c,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,1.0,1.0,0.9964165708480782,,1.0
01_prose_sections_001,01_prose_sections,prose_hierarchy,paragraph_occlusion,2,20260715,true,applied,,content+appearance,0,"[0.438734, 0.494392, 0.561053, 0.504808]",0,"[0.438734, 0.494392, 0.561053, 0.504808]",true,0,"[0.4343137254901961, 0.48484848484848486, 0.5627450980392157, 0.5128787878787879]",,8bb08188ef3f7067,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_001__paragraph_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9720670391061451,1.0,0.9720670391061451,0.9782355429986397,,1.0
01_prose_sections_001,01_prose_sections,prose_hierarchy,paragraph_occlusion,3,20260715,true,applied,,content+appearance,0,"[0.366107, 0.488208, 0.63368, 0.510992]",0,"[0.366107, 0.488208, 0.63368, 0.510992]",true,0,"[0.35490196078431374, 0.48409090909090907, 0.6392156862745098, 0.5128787878787879]",,926327e05222680f,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9515669515669516,0.9999994256098513,0.9515669515669516,0.9642011414649685,,1.0
01_prose_sections_002,01_prose_sections,prose_hierarchy,paragraph_occlusion,1,20260715,true,applied,,content+appearance,0,"[0.476992, 0.555191, 0.522866, 0.558071]",0,"[0.476992, 0.555191, 0.522866, 0.558071]",true,0,"[0.4764705882352941, 0.5507575757575758, 0.5245098039215687, 0.5613636363636364]",,ddaf3f0aa8cc9d5c,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9971014492753623,1.0,0.9971014492753623,0.9987605392884141,,1.0
01_prose_sections_002,01_prose_sections,prose_hierarchy,paragraph_occlusion,2,20260715,true,applied,,content+appearance,0,"[0.438764, 0.552792, 0.561094, 0.56047]",0,"[0.438764, 0.552792, 0.561094, 0.56047]",true,0,"[0.4343137254901961, 0.5515151515151515, 0.5686274509803921, 0.5636363636363636]",,e86379ad7c8b637f,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_002__paragraph_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9795918367346939,1.0,0.9795918367346939,0.9907141146468152,,1.0
01_prose_sections_002,01_prose_sections,prose_hierarchy,paragraph_occlusion,3,20260715,true,applied,,content+appearance,0,"[0.36613, 0.548233, 0.633728, 0.565029]",0,"[0.36613, 0.548233, 0.633728, 0.565029]",true,0,"[0.36470588235294116, 0.546969696969697, 0.638235294117647, 0.5659090909090909]",,5bf801ab4a1b83f5,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9734513274336285,1.0,0.9734513274336285,0.9417309863551121,,1.0
01_prose_sections_003,01_prose_sections,prose_hierarchy,paragraph_occlusion,1,20260715,true,applied,,content+appearance,0,"[0.476975, 0.563541, 0.522847, 0.5695]",0,"[0.476975, 0.563541, 0.522847, 0.5695]",true,0,"[0.47549019607843135, 0.5628787878787879, 0.5245098039215687, 0.5704545454545454]",,8fc546144f830b7a,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,1.0,1.0,1.0,0.9957825167955067,,1.0
01_prose_sections_003,01_prose_sections,prose_hierarchy,paragraph_occlusion,2,20260715,true,applied,,content+appearance,0,"[0.438749, 0.558576, 0.561073, 0.574466]",0,"[0.438749, 0.558576, 0.561073, 0.574466]",true,0,"[0.4294117647058823, 0.5522727272727272, 0.5676470588235294, 0.5795454545454546]",,9527f849fc26b31a,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,results/metric_research_v1/category_audit_repeat_v1/01_prose_sections/audit/01_prose_sections_003__paragraph_occlusion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.973621103117506,1.0,0.9132375850378791,0.9842232191871584,,1.0
01_prose_sections_003,01_prose_sections,prose_hierarchy,paragraph_occlusion,3,20260715,true,applied,,content+appearance,0,"[0.366119, 0.549141, 0.633703, 0.5839]",0,"[0.366119, 0.549141, 0.633703, 0.5839]",true,0,"[0.36176470588235293, 0.5484848484848485, 0.6411764705882353, 0.5848484848484848]",,75cee09f34dd03b0,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.966183574879227,1.0,0.9132375850378791,0.9427676863725075,,1.0
01_prose_sections_004,01_prose_sections,prose_hierarchy,paragraph_occlusion,1,20260715,true,applied,,content+appearance,0,"[0.476975, 0.685246, 0.522847, 0.697364]",0,"[0.476975, 0.685246, 0.522847, 0.697364]",true,0,"[0.4725490196078431, 0.6765151515151515, 0.5294117647058824, 0.7068181818181818]",,ce92b17f4f0fee75,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9934640522875817,1.0,0.9934640522875817,0.9981119640867546,,1.0
