sample_id,category,family,variant,severity,seed,applicable,status,reason,expected_axis,expected_page,expected_bbox,target_page,target_bbox,localization_applicable,predicted_page,predicted_bbox,components,variant_id,artifact_kind,is_ai_output,source_pdf,candidate_pdf,metric_adapter,axis_content,axis_layout,axis_typography,axis_appearance,axis_structure,axis_pagination
01_prose_sections_001,01_prose_sections,text_span_deletion,text_deletion,1,20260715,true,applied,,content,0,"[0.297808, 0.501267, 0.388146, 0.515042]",0,"[0.297808, 0.501267, 0.388146, 0.515042]",true,0,"[0.2980392156862745, 0.5022727272727273, 0.38823529411764707, 0.5128787878787879]",,eac739890f637265,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9972144846796658,1.0,0.9972144846796658,0.9950088443728383,,1.0
01_prose_sections_001,01_prose_sections,text_span_deletion,text_deletion,2,20260715,true,applied,,content,0,"[0.297808, 0.501267, 0.486631, 0.515042]",0,"[0.297808, 0.501267, 0.486631, 0.515042]",true,0,"[0.2980392156862745, 0.5022727272727273, 0.48627450980392156, 0.5128787878787879]",,22d21916a3ffef89,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,results/metric_research_v1/determinism_repeat_text_deletion/audit/01_prose_sections_001__text_deletion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9915966386554621,1.0,0.9915966386554621,0.9899561785920532,,1.0
01_prose_sections_001,01_prose_sections,text_span_deletion,text_deletion,3,20260715,true,applied,,content,0,"[0.297808, 0.501267, 0.84722, 0.515042]",0,"[0.297808, 0.501267, 0.84722, 0.515042]",true,0,"[0.2980392156862745, 0.5022727272727273, 0.8470588235294118, 0.5128787878787879]",,71fa1eeb5a67800e,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9772727272727273,1.0,0.9772727272727273,0.9700125861690704,,1.0
01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,1,20260715,true,applied,,content,0,"[0.266809, 0.441391, 0.285508, 0.455165]",0,"[0.266809, 0.441391, 0.285508, 0.455165]",true,0,"[0.26666666666666666, 0.44242424242424244, 0.2852941176470588, 0.4553030303030303]",,d070dbfaa7bb6d89,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9971014492753623,0.9999957774549857,0.9971014492753623,0.9984024215925333,,1.0
01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,2,20260715,true,applied,,content,0,"[0.266809, 0.441391, 0.340161, 0.455165]",0,"[0.266809, 0.441391, 0.340161, 0.455165]",true,0,"[0.26666666666666666, 0.44242424242424244, 0.34019607843137256, 0.4553030303030303]",,a0c687dcc1131f16,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,results/metric_research_v1/determinism_repeat_text_deletion/audit/01_prose_sections_002__text_deletion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.9912536443148687,0.9999957774549855,0.9912536443148687,0.9949884413546395,,1.0
01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,3,20260715,true,applied,,content,0,"[0.266809, 0.441391, 0.499163, 0.455165]",0,"[0.266809, 0.441391, 0.499163, 0.455165]",true,0,"[0.26666666666666666, 0.44242424242424244, 0.49901960784313726, 0.4553030303030303]",,8ac092f70ed0dee3,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.973293768545994,1.0,0.973293768545994,0.9852282214233384,,1.0
01_prose_sections_003,01_prose_sections,text_span_deletion,text_deletion,1,20260715,true,applied,,content,0,"[0.785419, 0.602402, 0.829715, 0.616177]",0,"[0.785419, 0.602402, 0.829715, 0.616177]",true,0,"[0.7852941176470588, 0.6060606060606061, 0.8294117647058824, 0.615909090909091]",,d83dcc24afc1c97c,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.997624703087886,1.0,0.997624703087886,0.9973886682207926,,1.0
01_prose_sections_003,01_prose_sections,text_span_deletion,text_deletion,2,20260715,true,applied,,content,0,"[0.597701, 0.602402, 0.882068, 0.616177]",0,"[0.597701, 0.602402, 0.882068, 0.616177]",true,0,"[0.5980392156862745, 0.603030303030303, 0.8803921568627451, 0.615909090909091]",,0cf6ff5daaac8ae2,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,results/metric_research_v1/determinism_repeat_text_deletion/audit/01_prose_sections_003__text_deletion__s2.pdf,pdf_metric_axes_v1.evaluate_pdf_pair,0.988009592326139,1.0,0.988009592326139,0.9861186992856997,,1.0
01_prose_sections_003,01_prose_sections,text_span_deletion,text_deletion,3,20260715,true,applied,,content,0,"[0.117647, 0.585295, 0.882122, 0.616177]",0,"[0.117647, 0.585295, 0.882122, 0.616177]",true,0,"[0.11764705882352941, 0.5863636363636363, 0.8823529411764706, 0.615909090909091]",,e49bfd350d3fb158,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9656862745098039,1.0,0.9656862745098039,0.9613929626366793,,1.0
01_prose_sections_004,01_prose_sections,text_span_deletion,text_deletion,1,20260715,true,applied,,content,0,"[0.569424, 0.367508, 0.596593, 0.380087]",0,"[0.569424, 0.367508, 0.596593, 0.380087]",true,0,"[0.5696078431372549, 0.36818181818181817, 0.596078431372549, 0.37803030303030305]",,1bae35dc403ebe43,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_004/reference.pdf,,pdf_metric_axes_v1.evaluate_pdf_pair,0.9978165938864628,1.0,0.9978165938864628,0.9996711355959864,,1.0
