sample_id,category,family,variant,severity,seed,applicable,status,reason,expected_axis,expected_page,expected_bbox,target_page,target_bbox,localization_applicable,predicted_page,predicted_bbox,components,variant_id,artifact_kind,is_ai_output,source_pdf,candidate_pdf,metric_adapter,axis_content,axis_layout,axis_typography,axis_appearance,axis_structure,axis_pagination
01_prose_sections_001,01_prose_sections,largest_block_displacement,block_right,1,20260715,true,applied,,layout,0,"[0.117647, 0.467051, 0.887042, 0.532149]",0,"[0.117647, 0.467051, 0.887042, 0.532149]",true,0,"[0.11764705882352941, 0.4681818181818182, 0.8872549019607843, 0.5318181818181819]",,a989e7ec81ee4f01,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,,pdf_metric_axes_v2.evaluate_pdf_pair#layout=text_ltsim_page_macro,1.0,0.9524780594839934,1.0,0.9560982424746818,,1.0
01_prose_sections_001,01_prose_sections,largest_block_displacement,block_right,2,20260715,true,applied,,layout,0,"[0.117647, 0.467051, 0.89848, 0.532149]",0,"[0.117647, 0.467051, 0.89848, 0.532149]",true,0,"[0.11764705882352941, 0.4681818181818182, 0.8990196078431373, 0.5318181818181819]",,924b0edefc260293,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,,pdf_metric_axes_v2.evaluate_pdf_pair#layout=text_ltsim_page_macro,1.0,0.951900595428009,1.0,0.9353637312506331,,1.0
01_prose_sections_001,01_prose_sections,largest_block_displacement,block_right,3,20260715,true,applied,,layout,0,"[0.117647, 0.467051, 0.921355, 0.532149]",0,"[0.117647, 0.467051, 0.921355, 0.532149]",true,0,"[0.11764705882352941, 0.4681818181818182, 0.9215686274509803, 0.5318181818181819]",,5365cbfc12a3c855,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_001/reference.pdf,,pdf_metric_axes_v2.evaluate_pdf_pair#layout=text_ltsim_page_macro,1.0,0.9507959527728997,1.0,0.9358831297129827,,1.0
01_prose_sections_002,01_prose_sections,largest_block_displacement,block_right,1,20260715,true,applied,,layout,0,"[0.117647, 0.532636, 0.887113, 0.580626]",0,"[0.117647, 0.532636, 0.887113, 0.580626]",true,0,"[0.11862745098039215, 0.5333333333333333, 0.8862745098039215, 0.5803030303030303]",,0df25d042f9d6318,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,,pdf_metric_axes_v2.evaluate_pdf_pair#layout=text_ltsim_page_macro,1.0,0.9997104690845356,1.0,0.9568961475209502,,1.0
01_prose_sections_002,01_prose_sections,largest_block_displacement,block_right,2,20260715,true,applied,,layout,0,"[0.117647, 0.532636, 0.898551, 0.580626]",0,"[0.117647, 0.532636, 0.898551, 0.580626]",true,0,"[0.11862745098039215, 0.5333333333333333, 0.8980392156862745, 0.5803030303030303]",,0f6054328a194bdd,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,,pdf_metric_axes_v2.evaluate_pdf_pair#layout=text_ltsim_page_macro,1.0,0.9990493472903672,1.0,0.9302984827161948,,1.0
01_prose_sections_002,01_prose_sections,largest_block_displacement,block_right,3,20260715,true,applied,,layout,0,"[0.117647, 0.532636, 0.921427, 0.580626]",0,"[0.117647, 0.532636, 0.921427, 0.580626]",true,0,"[0.11862745098039215, 0.5333333333333333, 0.9205882352941176, 0.5803030303030303]",,d5d2fca41921fda9,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_002/reference.pdf,,pdf_metric_axes_v2.evaluate_pdf_pair#layout=text_ltsim_page_macro,1.0,0.997784770551177,1.0,0.9278532775084529,,1.0
01_prose_sections_003,01_prose_sections,largest_block_displacement,block_right,1,20260715,true,applied,,layout,0,"[0.117647, 0.516865, 0.887077, 0.616177]",0,"[0.117647, 0.516865, 0.887077, 0.616177]",true,0,"[0.11764705882352941, 0.5174242424242425, 0.8872549019607843, 0.615909090909091]",,4cb0b91946674cfb,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,,pdf_metric_axes_v2.evaluate_pdf_pair#layout=text_ltsim_page_macro,1.0,0.9996461238259812,1.0,0.9475796907877663,,1.0
01_prose_sections_003,01_prose_sections,largest_block_displacement,block_right,2,20260715,true,applied,,layout,0,"[0.117647, 0.516865, 0.898515, 0.616177]",0,"[0.117647, 0.516865, 0.898515, 0.616177]",true,0,"[0.11764705882352941, 0.5174242424242425, 0.8980392156862745, 0.615909090909091]",,4b75e23d73da6636,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,,pdf_metric_axes_v2.evaluate_pdf_pair#layout=text_ltsim_page_macro,1.0,0.9988381607295921,1.0,0.9351806309183671,,1.0
01_prose_sections_003,01_prose_sections,largest_block_displacement,block_right,3,20260715,true,applied,,layout,0,"[0.117647, 0.516865, 0.921391, 0.616177]",0,"[0.117647, 0.516865, 0.921391, 0.616177]",true,0,"[0.11764705882352941, 0.5174242424242425, 0.9215686274509803, 0.615909090909091]",,47c9212c7a4ef81c,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_003/reference.pdf,,pdf_metric_axes_v2.evaluate_pdf_pair#layout=text_ltsim_page_macro,1.0,0.9972930438922016,1.0,0.9243674498750559,,1.0
01_prose_sections_004,01_prose_sections,largest_block_displacement,block_right,1,20260715,true,applied,,layout,0,"[0.117647, 0.590327, 0.887077, 0.792284]",0,"[0.117647, 0.590327, 0.887077, 0.792284]",true,0,"[0.11764705882352941, 0.5909090909090909, 0.8872549019607843, 0.7924242424242425]",,12258ce37ece8f1b,controlled_reference_perturbation,false,data/latex_benchmark_v0/corpus/01_prose_sections/01_prose_sections_004/reference.pdf,,pdf_metric_axes_v2.evaluate_pdf_pair#layout=text_ltsim_page_macro,1.0,0.9998551129186894,1.0,0.9738782386306979,,1.0
